Tap #,Delay (ns],Power (dB),Fading distribution
1,0,-0.2,LOS
,0,-12.4,Rayleigh
2,6,-21.1,
3,14,-16.75,
4,18,-18.3,
5,26,-22,
6,40,-27.9,
7,80,-23.7,
8,94,-24.9,
9,98,-30.0,
10,126,-27.7,
Note 1:Tap #1 follows a Ricean distribution.,,,
