"Frequency offset of measurement filter 3dB point, f","Frequency offset of measurement filter centre frequency, f_offset","Basic limits (Note 1, 2)",Measurement bandwidth
0 MHz  f < 0.05 MHz,0.015 MHz  f_offset < 0.065 MHz,,30 kHz
0.05 MHz  f < 0.15 MHz,0. 065 MHz  f_offset < 0.165 MHz,,30 kHz
0.15 MHz  f < 0.2 MHz,0.165MHz  f_offset < 0.215MHz,-14 dBm,30 kHz
0.2 MHz  f < 1 MHz,0.215MHz  f_offset < 1.015MHz,,30 kHz
(Note 3),1.015MHz  f_offset < 1.5 MHz,-26 dBm,30 kHz
1 MHz  f 6 MHz,1.5 MHz  f_offset <6.5 MHz,-13 dBm,1 MHz
6 MHz  f  fmax,6.5 MHz  f_offset < f_offsetmax,-15 dBm,1 MHz
"NOTE 1:For a BS supporting non-contiguous spectrum operation within any operating band, the minimum requirement within sub-block gaps is calculated as a cumulative sum of contributions from adjacent sub-blocks on each side of the sub-block gap, where the contribution from the far-end sub-block shall be scaled according to the measurement bandwidth of the near-end sub-block. Exception is f ≥ 6MHz from both adjacent sub-blocks on each side of the sub-block gap, where the minimum requirement within sub-block gaps shall be -15dBm/1MHz.NOTE 2:For a multi-band connector with Inter RF Bandwidth gap < 2*ΔfOBUE the minimum requirement within the Inter RF Bandwidth gaps is calculated as a cumulative sum of contributions from adjacent sub-blocks or RF Bandwidth on each side of the Inter RF Bandwidth gap, where the contribution from the far-end sub-block or RF Bandwidth shall be scaled according to the measurement bandwidth of the near-end sub-block or RF Bandwidth.NOTE 3:This frequency range ensures that the range of values of f_offset is continuous.",,,
