BS channel bandwidth (MHz),Subcarrier spacing (kHz),Reference measurement channel,Wanted signal mean power (dBm),Interfering signal mean power (dBm) / BWConfig,Type of interfering signal
20,15,G-FR1-A2-4,-63.5- ΔOTAREFSENS,-75.2- ΔOTAREFSENS,AWGN
,30,G-FR1-A2-5,-63.5- ΔOTAREFSENS,,
,60,G-FR1-A2-6,-63.8- ΔOTAREFSENS,,
30,15,G-FR1-A2-4,-63.5- ΔOTAREFSENS,-73.4- ΔOTAREFSENS,AWGN
,30,G-FR1-A2-5,-63.5- ΔOTAREFSENS,,
,60,G-FR1-A2-6,-63.8- ΔOTAREFSENS,,
40,15,G-FR1-A2-4,-63.5- ΔOTAREFSENS,-72.1- ΔOTAREFSENS,AWGN
,30,G-FR1-A2-5,-63.5- ΔOTAREFSENS,,
,60,G-FR1-A2-6,-63.8- ΔOTAREFSENS,,
50,15,G-FR1-A2-4,-63.5- ΔOTAREFSENS,-71.1- ΔOTAREFSENS,AWGN
,30,G-FR1-A2-5,-63.5- ΔOTAREFSENS,,
,60,G-FR1-A2-6,-63.8- ΔOTAREFSENS,,
60,30,G-FR1-A2-5,-63.5- ΔOTAREFSENS,-70.3- ΔOTAREFSENS,AWGN
,60,G-FR1-A2-6,-63.8- ΔOTAREFSENS,,
70,30,G-FR1-A2-5,-63.5- ΔOTAREFSENS,-69.7- ΔOTAREFSENS,AWGN
,60,G-FR1-A2-6,-63.8- ΔOTAREFSENS,,
80,30,G-FR1-A2-5,-63.5- ΔOTAREFSENS,-69.1- ΔOTAREFSENS,AWGN
,60,G-FR1-A2-6,-63.8- ΔOTAREFSENS,,
90,30,G-FR1-A2-5,-63.5- ΔOTAREFSENS,-68.5- ΔOTAREFSENS,AWGN
,60,G-FR1-A2-6,-63.8- ΔOTAREFSENS,,
100,30,G-FR1-A2-5,-63.5- ΔOTAREFSENS,-68.1- ΔOTAREFSENS,AWGN
,60,G-FR1-A2-6,-63.8- ΔOTAREFSENS,,
"NOTE 1:The wanted signal mean power is the power level of a single instance of the corresponding reference measurement channel. This requirement shall be met for each consecutive application of a single instance of the reference measurement channel mapped to disjoint frequency ranges with a width corresponding to the number of resource blocks of the reference measurement channel each, except for one instance that might overlap one other instance to cover the full BS channel bandwidth.",,,,,
