Number of TX antennas,Number of demodulation branches,Cyclic prefix,Propagation conditions and correlation matrix (Annex G),Fraction of maximum throughput,FRC(Annex A),Additional DM-RS position,PT-RS,SNR(dB)
,,Normal,TDLA30-300 Low,70 %,G-FR2-A3-4,pos0,No,-2.4
,,,,,G-FR2-A3-16,pos1,No,-2.5
,,Normal,TDLA30-300 Low,70 %,G-FR2-A4-4,pos0,Yes,11.9
,,,,,,,No,10.5
1,,,,,G-FR2-A4-14,pos1,Yes,11.1
,,,,,,,No,10.5
,2,Normal,TDLA30-75 Low,70 %,G-FR2-A5-4,pos0,Yes,13.5
,,,,,,,No,12.9
,,,,,G-FR2-A5-9,pos1,Yes,13.4
,,,,,,,No,12.8
,,Normal,TDLA30-300 Low,70 %,G-FR2-A3-9,pos0,No,1.4
,,,,,G-FR2-A3-21,pos1,No,1.2
2,,Normal,TDLA30-300 Low,70 %,G-FR2-A7-4,pos0,Yes,13.9
,,,,,,,No,13.2
,,,,,G-FR2-A7-9,pos1,Yes,13.5
,,,,,,,No,12.9
