Reference channel,G-FR2-A3-27,G-FR2-A3-28,
Number of TBoMS slots,2,2,
Subcarrier spacing [kHz],60,120,
Allocated resource blocks per slot,5,5,
Data bearing CP-OFDM Symbols per slot (Note 1),8,8,
Modulation,QPSK,QPSK,
Code rate (Note 2),193/1024,193/1024,
Payload size (bits),368,368,
Transport block CRC (bits),16,16,
Code block CRC size (bits),-,-,
Number of code blocks - C,1,1,
Code block size including CRC (bits) (Note 2),384,384,
Total number of bits over all TBoMS slots,1920,1920,
Total resource elements over all TBoMS slots,960,960,
"NOTE 1:DM-RS configuration type = 1 with DM-RS duration = single-symbol DM-RS and the number of DM-RS CDM groups without data is 2, Additional DM-RS position = pos1 with , l0 = 0 and l = 8 for PUSCH mapping type B as per table 6.4.1.1.3-3 of TS 38.211 [9].NOTE 2:Code block size including CRC (bits) equals to K' in sub-clause 5.2.2 of TS 38.212 [15].",,,
