Number of TX antennas,Number of RX antennas,Cyclic prefix,Propagation conditions and correlation matrix (Annex G),Frequency offset,Fraction of maximum throughput,FRC(Annex A),Additional DM-RS position,SNR(dB)
1,2,Normal,AWGN,500,70 %,G-FR1- A13-2,pos1,18.7
,,Normal,AWGN,500,70 %,G-FR1- A14-2,pos1,19.7
2,2,Normal,AWGN,500,70 %,G-FR1- A5-18,pos1,14.6
