Reference channel,G-FR2-A9-4,G-FR2-A9-5,G-FR2-A9-6
Subcarrier spacing [kHz],120,120,60
Allocated resource blocks,32,132,66
Data bearing CP-OFDM Symbols per slot (Note 1),8,8,8
Modulation,256QAM,256QAM,256QAM
Code rate (Note 2),682.5/1024,682.5/1024,682.5/1024
Payload size (bits),16392,67584,33816
Transport block CRC (bits),24,24,24
Code block CRC size (bits),24,24,24
Number of code blocks - C,2,9,5
Code block size including CRC (bits) (Note 2),8232,7536,6792
Total number of bits per slot without PT-RS,24576,101376,50688
Total number of bits per slot with PT-RS (Note 3),23552,97152,48576
Total resource elements per slot without PT-RS,3072,12672,6336
Total resource elements per slot with PT-RS (Note 3),2944,12144,6072
"NOTE 1:DM-RS configuration type = 1 with DM-RS duration = single-symbol DM-RS and the number of DM-RS CDM groups without data is 2, Additional DM-RS position = pos1 with l0= 0 and l =8 as per Table 6.4.1.1.3-3 of TS 38.211 [9].NOTE 2:Code block size including CRC (bits) equals to K' in sub-clause 5.2.2 of TS 38.212 [15].NOTE 3:PT-RS configuration KPT-RS =2, LPT-RS =1.",,,
