Reference channel,G-FR1-A3-39,G-FR1-A3-40,G-FR1-A3-41,G-FR1-A3-42
Subcarrier spacing [kHz],15,15,30,30
Allocated resource blocks,25,270,24,273
CP-OFDM Symbols per slot (Note 1),12,12,12,12
Modulation,QPSK,QPSK,QPSK,QPSK
Code rate (Note 2),193/1024,193/1024,193/1024,193/1024
Payload size (bits),5384,58472,5256,59496
Transport block CRC (bits),24,24,24,24
Code block CRC size (bits),24,24,24,24
Number of code blocks - C,2,16,2,16
Code block size including CRC (bits) (Note 2),2728,3680,2664,3744
Total number of bits per slot,28800,311040,27648,314496
Total symbols per slot,14400,155520,13824,157248
"NOTE 1:DM-RS configuration type = 1 with DM-RS duration = single-symbol DM-RS and the number of DM-RS CDM groups without data is 2, Additional DM-RS position = pos1, l0 = 2 and I = 11 for PUSCH mapping type A, l0 = 0 and I= 10 for PUSCH mapping type B as per table 6.4.1.1.3-3 of TS 38.211 [9].NOTE 2:Code block size including CRC (bits) equals to K' in clause 5.2.2 of TS 38.212 [15].",,,,
