Parameter,,Value,
Transform precoding,,Disabled,
Default TDD UL-DL pattern (Note 1),,"120 kHz SCS:3D1S1U, S=10D:2G:2U",
HARQ,Maximum number of HARQ transmissions,1,
,RV sequence,0,
DM-RS,DM-RS configuration type,1,
,DM-RS duration,single-symbol DM-RS,
,Additional DM-RS position,"pos0,pos1",
,Number of DM-RS CDM group(s) without data,2,
,Ratio of PUSCH EPRE to DM-RS EPRE,-3 dB,
,DM-RS port(s),{0},
,DM-RS sequence generation,"NID0=0,nSCID=0",
Time domain,PUSCH mapping type,B,
resource,Start symbol,0,
assignment,Allocation length,10,
Frequency domain resource,RB assignment,Full applicable test bandwidth,
assignment,Frequency hopping,Disabled,
Code block group based PUSCH transmission,,Disabled,
PT-RS,PT-RS,"Disabled,",Enabled
configuration,Frequency density (KPT-RS),N/A.,2
,Time density (LPT-RS),N/A.,1
,Number of CSI part 1 and CSI part 2 information bit payload,"{5,2},{20,20}",
,scaling,1,
UCI,betaOffsetACK-Index1,11,
,betaOffsetCSI-Part1-Index1 and betaOffsetCSI-Part1-Index2,13,
,betaOffsetCSI-Part2-Index1 and betaOffsetCSI-Part2-Index2,13,
,UCI partition for frequency hopping,Disabled,
NOTE 1:The same requirements are applicable to TDD with different UL-DL patterns.,,,
