Reference channel,G-FR1-A8-1,G-FR1-A8-2
Subcarrier spacing [kHz],15,30
Allocated resource blocks,2,2
CP-OFDM Symbols per slot (Note 1),11,11
Modulation,QPSK,QPSK
Code rate (Note 2),157/1024,157/1024
Payload size (bits),80,80
Transport block CRC (bits),16,16
Code block CRC size (bits),0,0
Number of code blocks - C,1,1
Code block size including CRC (bits) (Note 2),96,96
Total number of bits per slot,528,528
Total symbols per slot,264,264
"NOTE 1:DM-RS configuration type  = 1 with DM-RS duration = single-symbol DM-RS and the number of DM-RS CDM groups without data is 2, Additional DM-RS position = pos2 with l0= 2 as per Table 6.4.1.1.3-3 of TS 38.211 [9].NOTE 2:Code block size including CRC (bits) equals to K' in clause 5.2.2 of TS 38.212 [15].",,
