BS channel bandwidth (MHz),Reference measurement channel,Wanted signal mean power (dBm),Interfering signal mean power (dBm) / BWConfig,Type of interfering signal
3,,,-84.7,
5,,,-82.5,
7,,,-81.0,
10,,,-79.3,
15,,,-77.5,
20,FRC A15-1 in,,-76.2,
25,Annex A.15 in,-99.7,-75.2,AWGN
30,TS 36.104 [13],,-74.4,
35,,,-73.7,
40,,,-73.1,
45,,,-72.6,
50,,,-72.1,
3,,,-84.7,
5,,,-82.5,
7,,,-81.0,
10,,,-79.3,
15,,,-77.5,
20,FRC A15-2 inAnnex A.15 inTS 36.104 [13],,-76.2,
25,,-105.6,-75.2,AWGN
30,,,-74.4,
35,,,-73.7,
40,,,-73.1,
45,,,-72.6,
50,,,-72.1,
