BS channel,Total power dynamic range (dB),,
bandwidth (MHz),15 kHz SCS,30 kHz SCS,60 kHz SCS
3,11.7,N/A,N/A
5,13.9,10.4,N/A
7,15.4,N/A,N/A
10,17.1,13.8,10.4
15,18.9,15.7,12.5
20,20.2,17,13.8
25,21.2,18.1,14.9
30,22,18.9,15.7
35,22.7,19.6,16.4
40,23.3,20.2,17
45,23.8,20.7,17.6
50,24.3,21.2,18.1
60,N/A,22,18.9
70,N/A,22.7,19.6
80,N/A,23.3,20.2
90,N/A,23.8,20.8
100,N/A,24.3,21.3
