BS channel bandwidth (MHz),Subcarrier spacing (kHz),Reference measurement channel,Wanted signal mean power (dBm),Interfering signal mean power (dBm),Type of interfering signal
3,15,G-FR1-A1-20,-102.8,-83.6,"DFT-s-OFDM NR signal, 15 kHz SCS,6 RBs"
5,15,G-FR1-A1-7,-100.6,-81.4,"DFT-s-OFDM NR signal, 15 kHz SCS,10 RBs"
7,15,G-FR1-A1-7,-100.6,-79.6,"DFT-s-OFDM NR signal, 15 kHz SCS,15 RBs"
"10, 15, 20, 25, 30, 35",15,G-FR1-A1-1,-98.7,-77.4,"DFT-s-OFDM NR signal, 15 kHz SCS,25 RBs"
"40, 45, 50",15,G-FR1-A1-4,-92.3,-71.4,"DFT-s-OFDM NR signal, 15 kHz SCS, 100 RBs"
5,30,G-FR1-A1-8,-101.3,-81.4,"DFT-s-OFDM NR signal, 30 kHz SCS,5 RBs"
"10, 15, 20, 25, 30, 35",30,G-FR1-A1-2,-98.8,-78.4,"DFT-s-OFDM NR signal, 30 kHz SCS,10 RBs"
"40, 45, 50, 60, 70, 80, 90, 100",30,G-FR1-A1-5,-92.6,-71.4,"DFT-s-OFDM NR signal, 30 kHz SCS,50 RBs"
"10, 15, 20, 25, 30, 35",60,G-FR1-A1-9,-98.2,-78.4,"DFT-s-OFDM NR signal, 60 kHz SCS,5 RBs"
"40, 45, 50, 60, 70, 80, 90, 100",60,G-FR1-A1-6,-92.7,-71.6,"DFT-s-OFDM NR signal, 60 kHz SCS,24 RBs"
"NOTE:Wanted and interfering signal are placed adjacently around Fc, where the Fc is defined for BS channel bandwidth of the wanted signal according to the table 5.4.2.2-1. The aggregated wanted and interferer signal shall be centred in the BS channel bandwidth of the wanted signal.",,,,,
