BS channel bandwidth (MHz),Subcarrier spacing (kHz),Reference measurement channel,Wanted signal mean power (dBm),Interfering signal mean power (dBm) / BWConfig,Type of interfering signal
10,15,G-FR1-A2-7(Note 2),-69.8,-71.3,AWGN
,30,G-FR1-A2-8(Note 2),-67.6,,
,60,"G-FR1-A2-3(Note 1, 3)",-60.4,,
20,15,G-FR1-A2-9(Note 2),-66.8,-68.2,AWGN
,30,G-FR1-A2-10(Note 2),-63.8,,
,60,"G-FR1-A2-6(Note 1, 3)",-56.8,,
40,15,G-FR1-A2-11(Note 2),-63.7,-65.1,AWGN
,30,G-FR1-A2-12,-60.7,,
,60,"G-FR1-A2-6(Note 1, 3)",-56.8,,
60,30,G-FR1-A2-13(Note 2),-58.9,-63.3,AWGN
,60,"G-FR1-A2-6(Note 1, 3)",-56.8,,
80,30,G-FR1-A2-14(Note 2),-57.7,-62.1,AWGN
,60,"G-FR1-A2-6(Note 1, 3)",-56.8,,
"Note 1:The wanted signal mean power is the power level of a single instance of the corresponding reference measurement channel. This requirement shall be met for each consecutive application of a single instance of the reference measurement channel mapped to disjoint frequency ranges with a width corresponding to the number of resource blocks of the reference measurement channel each, except for one instance that might overlap one other instance to cover the full BS channel bandwidth.Note 2:The wanted signal mean power is the power level of a single instance of the corresponding reference measurement channel. This requirement shall be met for each interleaved application of a single instance of the reference measurement channel mapped to disjoint frequency ranges with a width corresponding to the number of resource blocks of the reference measurement channel each, except for one instance that might overlap one other instance to cover the full BS channel bandwidth.Note 3:For 60kHz SCS reference measurement channel is reused from Table 7.3.2-3.",,,,,
