Parameter,,Value
Transform precoding,,Disabled
Channel bandwidth,,15 kHz SCS: 10 MHz
,,30 kHz SCS: 40 MHz
MCS,,1
DM-RS,DM-RS configuration type,1
,DM-RS duration,single-symbol DM-RS
,DM-RS position (l0),2
,Additional DM-RS position,pos2 or pos1
,Number of DM-RS CDM group(s) without data,2
,Ratio of PUSCH EPRE to DM-RS EPRE,-3 dB
,DM-RS port,{0}
,DM-RS sequence generation,"NID0=0, nSCID = 0"
Time domain resource assignment,PUSCH mapping type,Both A and B
,Allocation length,14
Frequency domain resource assignment,RB assignment,2 PRBs
,Starting PRB index,0
,Frequency hopping,Disabled
Time offset (TO) Cycling (µs),start:end,15k SCS: 0:3.8
,,30k SCS: 0:2
Test Metric,BLER,0.01
NOTE 1:A single requirement is defined that is applicable regardless of whether pos1 or pos2 is configured for the additional DM-RS positionNOTE 2:The power ratio between preamble and msgA (msgA-DeltaPreamble) is set to be sufficient to achieve 100% preamble detection. The SNR for the requirement is defined on the msgA PUSCH,,
