Parameter,Unit,Test configuration,Value,,Comment
,,,Test 1,Test 2,
E-UTRA RF Channel Number,,"Config 1,2",1,,One E-UTRAN carrier frequencies is used.
NR RF Channel Number,,"Config 1,2",1,,One NR carrier frequencies is used.
Active cell,,"Config 1,2",Cell 1,,Cell 1 is on E-UTRA RF channel number 1.
Neighbour cell,,"Config 1,2",Cell 2,,Cell 2 is on NR RF channel number 1.
CP length,,"Config 1,2",Normal,,Applicable to both cells.
DRX,,"Config 1,2",OFF,,DRX is not used
Frame time offset between serving and neighbour cells,ms,Config 1,3,7,Asynchronous cells.The timing of Cell 2 relative to the timing of Cell 1.
,ms,Config 2,3,,Synchronous cells.
SFN offset between serving and neighbour cells,,"Config 1,2",0,1,SFN of Cell 2 relative to SFN of Cell 1.
SS-RSRP reporting,,"Config 1,2",No,,Only SFTD is reported.
T1,s,"Config 1,2",2,,T1 shall exceed Tmeasure_SFTD_LBT_max = 56 × SMTC
