Parameter,,Unit,Test configuration,Value,Comment
Initial condition,Active cell,,"1, 2",Cell 1,The UE camps on Cell 1 in the initial phase.
T1 end condition,Active cell,,"1, 2",Cell 2,The UE shall perform reselection to Cell 2 during T1.
,Neighbour cells,,"1, 2",Cell 1,
T2 end condition,Active cell,,"1, 2",Cell 1,The UE shall perform reselection to Cell 1 during T2 for iteration of the tests.
,Neighbour cells,,"1, 2",Cell 2,
Access Barring Information,,-,"1, 2",Not Sent,No additional delays in random access procedure.
SMTC configuration,,,"1, 2",SMTC.1,
DBT Window Configuration,,,"1, 2",DBT.1,As specified in clause A.3.28.1.
DL CCA model,,,"1, 2",As specified in clause A.3.26.2.1,
UL CCA model,,,"1, 2",As specified in clause A.3.26.2.2,
DRX cycle length,,s,"1, 2",1.28,The value shall be used for all cells in the test.
NR PRACH configuration index,,,"1, 2",102,The detailed configuration is specified in TS 38.211 clause 6.3.3.2
E-UTRAN PRACH,,,1,53,As specified in table 5.7.1-2 in TS 36.211 [23]
configuration index,,,2,4,
T1,,s,"1, 2",15,T1 needs to be defined so that cell re-selection reaction time is taken into account.
T2,,s,"1, 2",75,T2 needs to be defined so that cell re-selection reaction time is taken into account.
