Parameter,,Unit,Value,Comment
Initial conditions,Active cell,,Cell 1,NR cell with CCA
,Neighbouring cell,,Cell 2,NR cell
Final condition,Active cell,,Cell 2,
DL CCA model,,,As specified in clause A.3.26.2.1,
UL CCA model,,,As specified in clause A.3.26.2.2,
Access Barring Information,,-,Not Sent,No additional delays in random access procedure.
T304,,ms,500,
LCCA_DL,,,5,
WCCA_DL,,ms,T304,
LCCA_UL,,,5,
WCCA_UL,,ms,T304,
Time offset between cells,,,3 s,Synchronous cells
T1,,s,5,
T2,,s,5,
