Parameter,,Unit,Configuration,Cell 2,,
,,,,T1,T2,T3
RF channel number,,,"1, 2",1,,
DL CCA probability PCCA_DL,"Semi-static channel access Note 4, 6",,"1, 2",PCCA_DL=0.9375,,
,"Dynamic channel access Note 5, 6",,"1, 2",PCCA_DL_1=0.75PCCA_DL_2=0.75,,
UL CCA probability PCCA_UL,"Semi-static channel access Note 4, 6",,"1, 2",PCCA_UL=0.87,,
,"Dynamic channel access Note 5, 6",,"1, 2",PCCA_UL=0.75,,
LCCA_DL,,-,"1, 2",5,,
WCCA_DL,,ms,"1, 2",T304,,
LCCA_UL,,-,"1, 2",5,,
WCCA_UL,,ms,"1, 2",T304,,
T304,,ms,"1, 2",500,,
Duplex mode,,,"1, 2",TDD,,
TDD Configuration,,,"1, 2",TDDConf.1.1 CCA,,
BWchannel,,MHz,"1, 2","40: NPRB,c = 106 (TDD)",,
PDSCH reference measurement channel,,,"1, 2",SR.1.1 CCA,,
CORESET reference channel,,,"1, 2",CR.1.1 CCA,,
PRACH configuration,,,"1, 2",FR1 PRACH configuration 1 under CCA,,
OCNG patternNote1,,,"1, 2",OP.1,,
BWP,Initial DL BWP,,"1, 2",DLBWP.0.1,,
,Dedicated DL BWP,,,DLBWP.1.1,,
,Initial UL BWP,,,ULBWP.0.1,,
,Dedicated UL BWP,,,ULBWP.1.1,,
SMTC configuration,,,"1, 2",SMTC.1,,
SSB configuration,"Semi-static channel access Note 4, 6",,"1, 2",SSB.1 CCA,,
,"Dynamic channel access Note 5, 6",,"1, 2",SSB.2 CCA,,
DBT window configuration,,,,As defined in A.3.28.1,,
b2-Threshold2NR,,dBm,1,-105,,
,,,2,-103,,
EPRE ratio of PSS to SSS,,dB,"1, 2",0,,
EPRE ratio of PBCH_DMRS to SSS,,,,,,
EPRE ratio of PBCH to PBCH_DMRS,,,,,,
EPRE ratio of PDCCH_DMRS to SSS,,,,,,
EPRE ratio of PDCCH to PDCCH_DMRS,,,,,,
EPRE ratio of PDSCH_DMRS to SSS,,,,,,
EPRE ratio of PDSCH to PDSCH_DMRS,,,,,,
EPRE ratio of OCNG DMRS to SSS,,,,,,
EPRE ratio of OCNG to OCNG DMRS,,,,,,
NocNote2,,dBm/15 KHz,"1, 2",-98,,
NocNote2,,dBm/SCS,"1, 2",-95,,
Ês/Noc,,dB,"1, 2",-inifinit,0,0
Ês/IotNote3,,dB,"1, 2",-inifinit,0,0
SS-RSRPNote3,,dBm/SCS,"1, 2",-inifinit,-95,-95
IoNote3,,dBm/38.16 MHz,"1, 2",-63.96,-60.94,-60.94
Propagation condition,,,"1, 2",AWGN,,
Antenna Configuration and Correlation Matrix,,,"1, 2",1x2 Low,,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols. . For cells with CCA model, OCNG is transmitted only in the slots with downlink transmission burst and is not transmitted during the muted slots or during DBT window.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for Noc to be fulfilled.NOTE 3:Ês/Iot, SS-RSRP, and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:For UE supporting semi-static channel access and network configuring semi-static channel occupancy. NOTE 5:For UE supporting dynamic channel access and network configuring dynamic channel occupancy.NOTE 6:For UE supporting both semi-static and dynamic cannel access, the UE must be tested under both dynamic and semi-static channel occupancy configurations.",,,,,,
