Parameter,Unit,Test configuration,Cell 1,,,Cell 2,,
,,,T1,T2,T3,T1,T2,T3
TDD configuration,,1,TDDConf.1.1 CCA,,,TDDConf.1.1 CCA,,
DL CCA probability for semi-static channel access (PCCA_DL),,1,0.9,,,0.9,,
DL CCA probability for for dynamic static channel access (PCCA_DL_1),,1,0.75,,,0.75,,
DL CCA probability for for dynamic static channel access (PCCA_DL_2),,1,0.5,,,0.5,,
UL CCA probability PCCA_UL,,1,1,,,1,,
"Md,max",,1,16,,,16,,
"Mm,max",,1,4,,,4,,
"Me,max",,1,8,,,8,,
PDSCH RMC,,1,SR.1.1 CCA,,,SR.1.1 CCA,,
RMSI CORESET,,1,CR.1.1 CCA,,,CR.1.1 CCA,,
Dedicated CORESET,,1,CCR.1.1 CCA,,,CCR.1.1 CCA,,
OCNG Pattern,,1,OP.1 defined in A.3.2.1,,,OP.1 defined in A.3.2.1,,
Initial DL BWP configuration,,1,DLBWP.0.1,,,DLBWP.0.1,,
Initial UL BWP configuration,,1,ULBWP.0.1,,,ULBWP.0.1,,
RLM-RS,,1,SSB,,,SSB,,
Qrxlevmin,dBm/SCS,1,-127,,,-127,,
Pcompensation,dB,1,0,,,0,,
Qhysts,dB,1,0,,,0,,
"Qoffsets, n",dB,1,0,,,0,,
Cell_selection_and_reselection_quality_measurement,,1,SS-RSRP,,,SS-RSRP,,
,dB,1,16,-3.11,2.79,-infinity,2.79,-3.11
,,,,,,,,
,,,,,,,,
Note2,dBm/SCS,1,-95,,,,,
Note2,dBm/15 kHz,1,-98,,,,,
,dB,1,16,13,16,-infinity,16,13
,,,,,,,,
SS-RSRP Note3,dBm/SCS,1,-79,-82,-79,-infinity,-79,-82
,,,,,,,,
,,,,,,,,
Io,dBm/38.16 MHz,1,-47.85,-46.12,-46.12,Same as parameters specified in Cell 1 columns-,,
Treselection,s,1,0,0,0,0,0,0
SintrasearchP,dB,1,50,,,50,,
Propagation Condition,,1,AWGN,,,,,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4: For UE supporting both semi-static and dynamic cannel access, the UE must be tested under both dynamic and semi-static channel occupancy configurations.",,,,,,,,
