Parameter,,Unit,Test configuration,Value,Comment
Initial condition,Active cell,,1,Cell 2,The UE camps on Cell 2 in the initial phase and during T1 period the UE reselects to Cell 1
T1 end condition,Active cell,,1,Cell 1,The UE shall perform reselection to Cell 1 during T1
,Neighbour cells,,1,Cell 2,
T3 end condition,Active cell,,1,Cell 2,The UE shall perform reselection to Cell 2 with higher priority during T3
RF Channel Number,,,1,"1, 2",
Time offset between cells,,,1,3 s,Synchronous cells
Access Barring Information,,-,1,Not Sent,No additional delays in random access procedure.
SSB configuration,Semi-static channel access,,1,SSB.1 CCA (As defined in A.3.10A ),
,Dynamic channel access,,,SSB.2 CCA (As defined in A.3.10A ),
DBT Window Configuration,,,1,DBT.1,As specified in clause A.3.28.1.
SMTC configuration,,,1,SMTC.1,
DL CCA model,,,1,As specified in clause A.3.26.2.1,
UL CCA model,,,1,As specified in clause A.3.26.2.2,
DRX cycle length,,s,1,1.28,The value shall be used for all cells in the test.
PRACH configuration index,,,1,102,The detailed configuration is specified in TS 38.211 clause 6.3.3.2
rangeToBestCell,,,1,Not configured,
T1,,s,1,15,T1 needs to be defined so that cell re-selection reaction time is taken into account.
T2,,s,1,>7,"During T2, Cell 2 shall be powered off, and during the off time the physical cell identity shall be changed. The intention is to ensure that Cell 2 has not been detected by the UE prior to the start of period T3."
T3,,s,1,75,T3 needs to be defined so that cell re-selection reaction time is taken into account.
