Parameter,,Unit,Value,Comment
Initial Condition,Active cell,-,Cell 1,Cell 1 is with CCA.
,Neighbour cells,-,Cell 2,Cell 2 is with CCA.
Final condition,Active cell,-,Cell 2,
RF Channel Number,,-,1,
DL CCA model,"Dynamic channel accessNote 1,3",-,As specified in clause A.3.26.2.1,
,"Semi-static channel access Note 2,3",-,,
UL CCA model,"Dynamic channel access Note 1,3",-,As specified in clause A.3.26.2.2,
,"Semi-static channel access Note 2,3",-,,
LCCA_DL,,,5,
WCCA_DL,,ms,T311,
LCCA_UL,,,5,
WCCA_UL,,ms,T311,
Time offset between cells,,-,3 s,Synchronous cells
N310,,-,1,Maximum consecutive out-of-sync indications from lower layers
N311,,-,1,Minimum consecutive in-sync indications from lower layers
T310,,ms,0,Radio link failure timer; T310 is disabled
T311,,ms,3000,RRC re-establishment timer
Access Barring Information,,-,Not Sent,No additional delays in random access procedure.
SSB configuration,"Dynamic channel access Note 1, 3",-,SSB.2 CCA,Table A.3.10A.1.2-1
,"Semi-static channel access Note 2, 3",-,SSB.1 CCA,Table A.3.10A.1.1-1
DBT window configuration,,-,DBT.1,Table A.3.28.1-1
SMTC configuration,,-,SMTC pattern 1,
DRX cycle length,,s,OFF,
PRACH configuration,,-,FR1 PRACH configuration 1,Table A.3.8A.2.1-1
T1,,s,5,
T2,,ms,520,"Time for the UE to detect RLF (Summation of TEvaluate_out_SSB defined in clause 8.1A in TS 38.133, T310 and the period for UE turns off transmitter)"
T3,,s,≥ TUE_re-establish_delay_CCA,As defined in clause 6.2.1A
"NOTE 1:For a UE supporting dynamic channel access and network configuring dynamic channel occupancy.   NOTE 2:For a UE supporting semi-static channel access and network configuring semi-static channel occupancy.NOTE 3:For a UE supporting both semi-static and dynamic cannel access, the UE can be tested under dynamic channel occupancy only.",,,,
