Parameter,,Unit,Value,Comment
Initial conditions,Active cell,,Cell 1,NR cell with CCA
,Neighbouring cell,,Cell 2,NR cell
Final condition,Active cell,,Cell 2,
DL CCA model,,,As specified in clause A.3.26.2.1,
UL CCA model,,,As specified in clause A.3.26.2.2,
A3-Offset,,dB,0,
Hysteresis,,dB,0,
Time To Trigger,,s,0,
T304,,ms,500,
LCCA_DL,,,5,
WCCA_DL,,ms,T304,
LCCA_UL,,,5,
WCCA_UL,,ms,T304,
Filter coefficient,,,0,L3 filtering is not used
Access Barring Information,,-,Not Sent,No additional delays in random access procedure.
Time offset between cells,,,3 s,Synchronous cells
T1,,s,5,
T2,,s,5,
T3,,s,1,
