Parameter,,Unit,Value,Comment
Initial condition,Active cell,,Cell 1,
,Neighbour cells,,Cell 2,
Final condition,Active cell,,Cell 2,
RF Channel Number,,,"1, 2",
Time offset between cells,,,3 s,Synchronous cells
DL CCA model,"Dynamic channel accessNote 1,3",,As specified in clause A.3.26.2.1,
,"Semi-static channel access Note 2,3",,,
UL CCA model,"Dynamic channel access Note 1,3",,As specified in clause A.3.26.2.2,
,"Semi-static channel access Note 2,3",,,
LCCA_DL,,,5,
WCCA_DL,,ms,T311,
LCCA_UL,,,5,
WCCA_UL,,ms,T311,
N310,,-,1,Maximum consecutive out-of-sync indications from lower layers
N311,,-,1,Minimum consecutive in-sync indications from lower layers
T310,,ms,0,Radio link failure timer; T310 is disabled
T311,,ms,5000,RRC re-establishment timer
Access Barring Information,,-,Not Sent,No additional delays in random access procedure.
DRX cycle length,,s,OFF,
PRACH configuration,,,FR1 PRACH configuration 1,Table A.3.8A.2.1-1
T1,,s,5,
T2,,ms,520,"Time for the UE to detect RLF (Summation of TEvaluate_out_SSB defined in clause 8.1A in TS 38.133, T310 and the period for UE turns off transmitter)"
T3,,s,≥ TUE_re-establish_delay_CCA,As defined in clause 6.2.1A
