Parameter,,Unit,Test configuration,Value,Comment
Active cell,,,1,Cell 1,
Neighbour cell,,,1,Cell 2,Cell to be identified.
RF Channel Number,,,1,1: Cell 1 and Cell 2,
DL CCA model,,,1,As specified in clause A.3.26.2.1,
UL CCA model,,,1,As specified in clause A.3.26.2.2,
SSB configuration,"Semi-static channel access Note 1,3",,1,SSB.1 CCA,
,"Dynamic channel access Note 2,3",,1,SSB.2 CCA,
SMTC configuration,,,1,SMTC.1,
A3-Offset,,dB,1,-4.5,
CP length,,,1,Normal,
Hysteresis,,dB,1,0,
Time To Trigger,,s,1,0,
Filter coefficient,,,1,0,L3 filtering is not used
DRX,,,1,OFF,DRX is not used
Time offset between serving and neighbour cells,,,1,3 s,Synchronous cells
T1,,s,1,5,
T2,,s,1,5,
"NOTE 1:For UE supporting semi-static channel access and network configuring semi-static channel occupancy.NOTE 2:For UE supporting dynamic channel access and network configuring dynamic channel occupancy.NOTE 3:For UE supporting both semi-static and dynamic channel access, the UE must be tested under dynamic channel access configuration.",,,,,
