Parameter,Unit,Test configuration,Value,Comment
NR RF Channel Number,,Config 1,"1, 2",Two FR1 NR carrier frequencies are used. Channels 1 and 2 are with CCA.
Active cells,,Config 1,NR Cell 1 with CCA (PCell),NR Cell 1 is on NR RF channel number 1 with CCA.
Neighbour cell,,Config 1,NR Cell 2 with CCA,NR Cell 2 is on NR RF channel number 2 with CCA.
DL CCA model,,Config 1,As specified in clause A.3.26.2.1,
UL CCA model,,Config 1,As specified in clause A.3.26.2.2,
Gap Pattern Id,,Config 1,0,As specified in clause 9.1.2-1.
Measurement gap offset,,Config 1,9,
A3-Offset,dB,Config 1,-6,
Hysteresis,dB,Config 1,0,
CP length,,Config 1,Normal,
TimeToTrigger,s,Config 1,0,
Filter coefficient,,Config 1,0,L3 filtering is not used
DRX,,Config 1,OFF,DRX is not used
Time offset between serving and neighbour cells,,Config 1,3s,Synchronous cells.
T1,s,Config 1,5,
T2,s,Config 1,2,
