Parameter,,Unit,Test configuration,Value,Comment
Initial,Active cell,,1,Cell 1,
condition,Neighbour cells,,1,Cell 2,
T2 end condition,Active cell,,1,Cell 2,
,Neighbour cells,,1,Cell 1,
Final condition,Active cell,,1,Cell 1,
RF Channel Number,,,1,1,
Time offset between cells,,,1,3 s,Synchronous cells
Access Barring Information,,-,1,Not Sent,No additional delays in random access procedure.
SSB configuration,Semi-static channel access,,1,SSB.1 CCA,(As defined in A.3.10A)
,Dynamic channel access,,,SSB.2 CCA,
DBT Window Configuration,,,1,DBT.1,As specified in clause A.3.28.1.
SMTC confituration,,,,SMTC.1,
DL CCA model,,,1,As specified in clause A.3.26.2.1,
UL CCA model,,,1,As specified in clause A.3.26.2.2,
DRX cycle length,,s,1,1.28,The value shall be used for all cells in the test.
PRACH configuration index,,,1,102,The detailed configuration is specified in TS 38.211 clause 6.3.3.2
rangeToBestCell,,,1,Not configured,
T1,,s,1,>7,"During T1, Cell 2 shall be powered off, and during the off time the physical cell identity shall be changed, The intention is to ensure that Cell 2 has not been detected by the UE prior to the start of period T2"
T2,,s,1,40,T2 needs to be defined so that cell re-selection reaction time is taken into account.
T3,,s,1,15,T3 needs to be defined so that cell re-selection reaction time is taken into account.
