Parameter,Unit,Test configuration,Cell 1,,,,Cell 2,,
,,,T1,T2,T3,,T1,T2,T3
TDD configuration,,1,TDDConf.1.1.CCA,,,,N/A,,
,,2,TDDConf.1.1.CCA,,,,TDDConf.1.1,,
,,3,TDDConf.1.1.CCA,,,,TDDConf.2.1,,
DL CCA probability for semi-static channel access (PCCA_DL),,"1, 2, 3",0.9,,,,N/A,,
DL CCA probability for for dynamic static channel access (PCCA_DL_1),,"1, 2, 3",0.75,,,,N/A,,
DL CCA probability for for dynamic static channel access (PCCA_DL_2),,"1, 2, 3",0.5,,,,N/A,,
UL CCA probability PCCA_UL,,"1, 2, 3",1,,,,N/A,,
"Md,max",,"1, 2, 3",16,,,,N/A,,
"Mm,max",,"1, 2, 3",4,,,,N/A,,
"Me,max",,"1, 2, 3",8,,,,N/A,,
PDSCH RMC,,1,SR.1.1 CCA,,,,SR.1.1 FDD,,
configuration,,2,SR.1.1 CCA,,,,SR.1.1 TDD,,
,,3,SR.1.1 CCA,,,,SR.2.1 TDD,,
RMSI CORESET,,1,CR.1.1 CCA,,,,CR.1.1 FDD,,
RMC configuration,,2,CR.1.1 CCA,,,,CR.1.1 TDD,,
,,3,CR.1.1 CCA,,,,CR.2.1 TDD,,
Dedicated CORESET,,1,CCR.1.1 CCA,,,,CCR.1.1 FDD,,
RMC configuration,,2,CCR.1.1 CCA,,,,CCR.1.1 TDD,,
,,3,CCR.1.1 CCA,,,,CCR.2.1 TDD,,
OCNG Pattern,,"1, 2, 3",OP.1 defined in A.3.2.1,,,,OP.1 defined in A.3.2.1,,
Initial DL BWP configuration,,"1, 2, 3",DLBWP.0.1,,,,DLBWP.0.1,,
Initial UL BWP configuration,,"1, 2, 3",ULBWP.0.1,,,,ULBWP.0.1,,
RLM-RS,,"1, 2, 3",SSB,,,,SSB,,
Qrxlevmin,dBm/SCS,"1, 2",-137,,,,-140,,
,,3,-137,,,,-137,,
Pcompensation,dB,"1, 2, 3",0,,,,0,,
Cell_selection_and_reselection_quality_measurement,,"1, 2, 3",SS-RSRP,,,,SS-RSRP,,
,dB,1,14,14,14,,-4,-infinity,12
,,2,,,,,,,
,,3,,,,,,,
Note2,dBm/SCS,1,-95,,,-98,,,
,,2,-95,,,-98,,,
,,3,-95,,,,,,
Note2,dBm/15 kHz,1,-98,,,,,,
,,2,,,,,,,
,,3,,,,,,,
,dB,1,14,14,14,,-4,-infinity,12
,,2,,,,,,,
,,3,,,,,,,
SS-RSRP Note3,dBm/SCS,1,-81,-81,-81,,-102,-infinity,-86
,,2,-81,-81,-81,,-102,-infinity,-86
,,3,-81,-81,-81,,-99,-infinity,-83
Io,dBm/9.36 MHz,1,--,--,--,,-68.60,-70.05,-57.78
,dBm/9.36 MHz,2,--,--,--,,-68.60,-70.05,-57.78
,dBm/38.16 MHz,3,-49.79,-49.79,-49.79,,-65.50,-66.96,-54.69
Treselection,s,"1, 2, 3",0,0,0,,0,0,0
SnonintrasearchP,dB,"1, 2, 3",50,,,,50,,
"Threshx, highP",dB,"1, 2, 3",48,,,,48,,
"Threshserving, lowP",dB,"1, 2, 3",44,,,,44,,
"Threshx, lowP",dB,"1, 2, 3",50,,,,50,,
Propagation Condition,,"1, 2, 3",AWGN,,,,,,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:For UE supporting both semi-static and dynamic cannel access, the UE must be tested under both dynamic and semi-static channel occupancy configurations.",,,,,,,,,
