Parameter,Unit,Test configuration,Value,,Comment
,,,Test 1,Test 2,
NR RF Channel Number,,"Config 1,2,3","1, 2",,Two FR1 NR carrier frequencies are used. NR channel 1 is with CCA.
Active cell,,"Config 1,2,3",NR Cell 1 (PCell),,NR Cell 1 is on NR RF channel number 1 with CCA.
Neighbour cell,,"Config 1,2,3",NR Cell 2,,NR Cell 2 is on NR RF channel number 2.
DL CCA model,,"Config 1,2,3",As specified in clause A.3.26.2.1,,
UL CCA model,,"Config 1,2,3",As specified in clause A.3.26.2.2,,
Gap Pattern Id,,"Config 1,2,3",0,,As specified in clause 9.1.2-1.
Measurement gap offset,,"Config 1,2,3",9,,
A3-Offset,dB,"Config 1,2,3",-6,,
Hysteresis,dB,"Config 1,2,3",0,,
CP length,,"Config 1,2,3",Normal,,
TimeToTrigger,s,"Config 1,2,3",0,,
Filter coefficient,,"Config 1,2,3",0,,L3 filtering is not used
DRX,,"Config 1,2,3",DRX.1,DRX.2,As specified in clause A.3.3
Time offset between serving and neighbour cells,,"Config 1,2,3",3 ms,,Asynchronous cells.The timing of Cell 2 is 3 ms later than the timing of Cell 1.
,,"Config 1,2,3",3s,,Synchronous cells.
T1,s,"Config 1,2,3",5,,
T2,s,"Config 1,2,3",2.5,17,
