Parameter,Unit,Test configuration,Cell 2,,
,,,T1,T2,T3
TDD configuration,,"1, 2",TDDConf.1.1.CCA,,
DL CCA probability for semi-static channel access (PCCA_DL),,"1, 2",0.9,,
DL CCA probability for for dynamic static channel access (PCCA_DL_1),,"1, 2",0.75,,
DL CCA probability for for dynamic static channel access (PCCA_DL_2),,"1, 2",0.5,,
UL CCA probability PCCA_UL,,"1, 2",1,,
"Md,max",,"1, 2",16,,
"Mm,max",,"1, 2",4,,
"Me,max",,"1, 2",8,,
PDSCH Reference measurement channel,,"1, 2",SR.1.1 CCA,,
RMSI CORESET Reference Channel,,"1, 2",CR.1.1 CCA,,
RMC CORESET Reference Channel,,"1, 2",CCR.1.1 CCA,,
NR SMTC parameters,,"1, 2",SMTC.1,,
OCNG Patterns,,"1, 2",OP.1,,
SSB configuration,,"1, 2","SSB.1 CCA Note4SSB.2 CCA Note5,6",,
Initial DL BWP configuration,,"1, 2",DLBWP.0.1,,
Initial UL BWP configuration,,"1, 2",ULBWP.0.1,,
RLM-RS,,"1, 2",SSB,,
Qrxlevmin,dBm/SCS,"1, 2",-137,,
Pcompensation,dB,"1, 2",0,,
Qhysts,dB,"1, 2",0,,
"Qoffsets, n",dB,"1, 2",0,,
Cell_selection_and_reselection_quality_measurement,,"1, 2",SS-RSRP,,
,dB,"1, 2",-4,-infinity,12
,,,,,
,,,,,
Note2,dBm/SCS,"1, 2",-95,,
Note2,dBm/15 kHz,"1, 2",-98,,
,,,,,
,,,,,
,dB,"1, 2",-4,-infinity,12
,,,,,
,,,,,
SS-RSRP Note3,dBm/SCS,"1, 2",-99,-infinity,-83
Io,dBm/38.16 MHz,"1, 2",-62.50,-63.95,-51.69
Treselection,s,"1, 2",0,0,0
SnonintrasearchP,dB,"1, 2",50,,
"Threshx, highP",dB,"1, 2",48,,
"Threshserving, lowP",dB,"1, 2",44,,
"Threshx, lowP",dB,"1, 2",50,,
Propagation Condition,,"1, 2",AWGN,,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols. . For cells with CCA model, OCNG is transmitted only in the slots with downlink transmission burst and is not transmitted during the muted slots or during DBT window.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:For UE supporting semi-static channel access and network configuring semi-static channel occupancy.NOTE 5:For UE supporting dynamic channel access and network configuring dynamic channel occupancy.NOTE 6:For UE supporting both semi-static and dynamic channel access, the UE must be tested under dynamic channel access configuration.",,,,,
