Parameter,Unit,Test configuration,Cell 2,
,,,T1,T2
NR RF Channel Number,,"1, 2",1,
TDD configuration,,"1, 2",TDDConf.1.1 CCA,
BWchannel,MHz,"1, 2","40: NPRB,c = 106",
"PCCA_DL for dynamic channel access Note 6,8",,"1, 2",PCCA_DL_1=0.75PCCA_DL_2=0.75,
"PCCA_DL for semi-static channel access Note 7,8",,"1, 2",PCCA_DL=0.9375,
OCNG Patterns defined in A.3.2.1.1 (OP.1),,"1, 2",OP.1,
SMTC configuration defined in A.3.11.1 and A.3.11.2,,"1, 2",SMTC.1,
DBT window configuration,,"1, 2",DBT.1,
SSB configuration for semi-static channel access,,"1, 2",SSB.1 CCA,
SSB configuration for dynamic channel access,,"1, 2",SSB.2 CCA,
PDSCH/PDCCH subcarrier spacing,kHz,"1, 2",30,
b2-Threshold2NR,dBm,"1, 2",-98,
EPRE ratio of PSS to SSS,,"1, 2",0,
EPRE ratio of PBCH DMRS to SSS,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,
EPRE ratio of PDSCH to PDSCH,,,,
EPRE ratio of OCNG DMRS to SSS (Note 1),,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,
Note2,dBm/15 kHz,"1, 2",-98,
Note2,dBm/SCS,"1, 2",-95,
"SS-RSRP Note 3,5",dBm/SCS,"1, 2",-Infinity,-88
Note 5,dB,"1, 2",-Infinity,7
Note 5,dB,"1, 2",-Infinity,7
IoNote3,dBm/38.16 MHz,"1, 2",-63.95,-56.16
Propagation Condition,,"1, 2",AWGN,
Antenna Configuration and Correlation Matrix,,"1, 2,",1x2 Low,
"NOTE 1:OCNG shall be used such that the cell is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols. For cells with CCA model, OCNG is transmitted only in the slots with downlink transmission burst and is not transmitted during the muted slots or during DBT window.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for NOC to be fulfilled.NOTE 3:SS-RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:SS-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 5: The signal levels apply for SSS REs when the discovery burst is transmitted during DBT windows.NOTE 6: For UE supporting semi-static channel access and network configuring semi-static channel occupancy.NOTE 7:For UE supporting dynamic channel access and network configuring dynamic channel occupancy.NOTE 8:For a UE supporting both semi-static and dynamic channel access, the UE can be tested under dynamic channel occupancy only.",,,,
