Parameter,Unit,Value,Comment
NR RF Channel Number,,"1, 2",Two NR radio channels are used in this test
Active PCell,,Cell 1,PCell on RF channel number 1.
Active SCell,,Cell 2,SCell on RF channel number 2.
CP length,,Normal,
DRX,,OFF,For both PCell and SCell
DL CCA model,,As specified in clause A.3.26.2.1,
UL CCA model,,As specified in clauseA.3.26.2.2,
bwp-InactivityTimer,ms,200,
Cell-individual offset for cells on RF channel number 1,dB,0,Individual offset for cells on PCC.
Cell-individual offset for cells on RF channel number 2,dB,0,Individual offset for cells on SCC.
Cell 2 timing offset to Cell 1,s,3,Time alignment error as specified in TS 38.104 [13] clause 6.5.3.1.
T1,s,0.2,
T2,s,0.2,
T3,s,0.2,
