Parameter,,Unit,Test configuration,Value,Comment
Initial condition,Active cell,,"1, 2, 3",Cell 2,The UE camps on Cell 2 which is subject to CCA in the initial phase and during T1 period the UE reselects to Cell 1 which is an inter-frequency NR cell
T1 end condition,Active cell,,"1, 2, 3",Cell 1,The UE shall perform reselection to Cell 1 during T1
,Neighbour cells,,"1, 2, 3",Cell 2,
T3 end condition,Active cell,,"1, 2, 3",Cell 2,The UE shall perform reselection to Cell 2 with higher priority during T3
RF Channel Number,,,"1, 2, 3","1, 2",
Time offset between cells,,,1,3 ms,Asynchronous cells
,,,2,3 s,Synchronous cells
,,,3,3 s,Synchronous cells
Access Barring Information,,-,"1, 2, 3",Not Sent,No additional delays in random access procedure.
SSB configuration,,,1,Cell 1: SSB.1 FR1Cell 2: SSB.1 CCA for semi-static channel access;Cell 2: SSB.2 CCA for dynamic channel access,
,,,2,Cell 1: SSB.1 FR1Cell 2: SSB.1 CCA for semi-static channel access;Cell 2: SSB.2 CCA for dynamic channel access,
,,,3,Cell 1: SSB.2 FR1Cell 2: SSB.1 CCA for semi-static channel access;Cell 2: SSB.2 CCA for dynamic channel access,
SMTC configuration,,,1,Cell 1: SMTC.1Cell 2: SMTC.1,
,,,2,Cell 1: SMTC.1Cell 2: SMTC.1,
,,,3,Cell 1: SMTC.1Cell 2: SMTC.1,
DBT Window Configuration,,,"1, 2, 3",Cell 1: N/ACell 2: DBT.1,As specified in clause A.3.28.1.
DL CCA model,,,"1, 2, 3",Cell 1: N/ACell 2: As specified in clause A.3.26.2.1,
UL CCA model,,,"1, 2, 3",Cell 1: N/ACell 2: As specified in clause A.3.26.2.2,
DRX cycle length,,s,"1, 2, 3",1.28,The value shall be used for all cells in the test.
PRACH configuration index,,,"1, 2, 3",102,The detailed configuration is specified in TS 38.211 clause 6.3.3.2
rangeToBestCell,,,"1, 2, 3",Not configured,
T1,,s,"1, 2, 3",15,T1 needs to be defined so that cell re-selection reaction time is taken into account.
T2,,s,"1, 2, 3",>7,"During T2, Cell 2 shall be powered off, and during the off time the physical cell identity shall be changed. The intention is to ensure that Cell 2 has not been detected by the UE prior to the start of period T3."
T3,,s,"1, 2, 3",75,T3 needs to be defined so that cell re-selection reaction time is taken into account.
