Parameter,,Test config,Unit,Cell 1,,,Cell 2,,
,,,,T1,T2,T3,T1,T2,T3
TDD configuration,,1,,N/A,,,TDDConf.1.1.CCA,,
,,2,,TDDConf.1.1,,,TDDConf.1.1.CCA,,
,,3,,TDDConf.2.1,,,TDDConf.1.1.CCA,,
PDSCH RMC configuration,,1,,SR.1.1 FDD,,,SR.1.1 CCA,,
,,2,,SR.1.1 TDD,,,SR.1.1 CCA,,
,,3,,SR.2.1 TDD,,,SR.1.1 CCA,,
RMSI CORESET RMC configuration,,1,,CR.1.1 FDD,,,CR.1.1 CCA,,
,,2,,CR.1.1 TDD,,,CR.1.1 CCA,,
,,3,,CR.2.1 TDD,,,CR.1.1 CCA,,
Dedicated CORESET RMC configuration,,1,,CCR.1.1 FDD,,,CCR.1.1 CCA,,
,,2,,CCR.1.1 TDD,,,CCR.1.1 CCA,,
,,3,,CCR.2.1 TDD,,,CCR.1.1 CCA,,
OCNG Pattern,,1,,OP.1 defined in A.3.2.1,,,OP.1 defined in A.3.2.1,,
TRS configuration,,1,,TRS.1.1 FDD,,,TRS.1.2 TDD,,
,,2,,TRS.1.1 TDD,,,TRS.1.2 TDD,,
,,3,,TRS.1.2 TDD,,,TRS.1.2 TDD,,
SMTC configuration,,"1,2,3",,SMTC.1,,,SMTC.1,,
SSB configuration,Semi- static channel acces,"1,2",,SSB.1 FR1,,,SSB.1 CCA,,
,Semi- static channel acces,3,,SSB.2 FR1,,,SSB.1 CCA,,
,Dymamic channel acces,"1,2",,SSB.1 FR1,,,SSB.2 CCA,,
,Dymamic channel acces,3,,SSB.2 FR1,,,SSB.2 CCA,,
Initial DL BWP configuration,,"1,2,3",,DLBWP.0.1,,,DLBWP.0.1,,
Initial UL BWP configuration,,"1,2,3",,ULBWP.0.1,,,ULBWP.0.1,,
Active DL BWP confgiuration,,"1,2,3",,DLBWP.1.1,N/A,N/A,N/A,N/A,DLBWP.1.1
Active UL BWP configuration,,"1,2,3",,ULBWP.1.1,N/A,N/A,N/A,N/A,ULBWP.1.1
DL CCA probability for semi-static channel access (PCCA_DL),,"1,2,3",,N/A,N/A,N/A,1,1,0.9375
DL CCA probability for for dynamic static channel access (PCCA_DL_1),,"1,2,3",,N/A,N/A,N/A,1,1,0.75
DL CCA probability for for dynamic static channel access (PCCA_DL_2),,"1,2,3",,N/A,N/A,N/A,1,1,0.75
UL CCA probability (PCCA_UL),,"1,2,3",,N/A,N/A,N/A,1,1,1
RLM-RS,,"1,2,3",,SSB,,,SSB,,
,,"1,2,3",dB,4,-infinity,-infinity,-infinity,-infinity,7
Note2,,"1,2,3",dBm/15 KHz,-98,,,,,
Note2,,"1,2",dBm/SCS,-98,,,,,
,,3,,-95,,,,,
,,"1,2,3",dB,4,-infinity,-infinity,-infinity,-infinity,7
SS-RSRP Note3,,"1, 2",dBm/SCS,-94,-infinity,-infinity,-infinity,-infinity,-91
,,3,,-91,-infinity,-infinity,-infinity,-infinity,-88
Io,,"1,2",dBm/9.36 MHz,-64.59,-70.05,-70.05,-63.94,-63.94,-56.15
,,3,dBm/38.16 MHz,-58.50,-63.94,-63.94,-63.94,-63.94,-56.15
Propagation Condition,,"1,2,3",,AWGN,,,,,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols. For cells with CCA model, OCNG is transmitted only in the slots with downlink transmission burst and is not transmitted during the muted slots or during DBT window.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for NOC to be fulfilled.NOTE 3:SS-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:Parameters PCCA_DL, PCCA_DL_1, PCCA_DL_2 and PCCA_UL are defined in clause A.3.26.2.NOTE 5:For UE supporting both semi-static and dynamic cannel access, the UE must be tested under both dynamic and semi-static channel occupancy configurations.",,,,,,,,,
