Parameter,,Unit,Cell 2
NR RF Channel Number,,,1
Duplex mode,,,TDD
BWchannel,,MHz,"40: NPRB,c = 106"
TDD configuration,,,TDDConf.1.1 CCA
DL CCA model,,,As specified in clause A.3.26.2.1
"DL CCA probability for semi-static channel accessNote5,7",PCCA_DL,,0.9375
"DL CCA probability for dynamic channel accessNote6,7",PCCA_DL_1,,0.75
,PCCA_DL_2,,0.75
OCNG Pattern defined in A.3.2.1.1Note 1,,,OP.1
SMTC configuration defined in A.3.2.11.1 and A.3.2.11.2,,,SMTC.2
"SSB configuration for semi-static channel accessNote5,7",,,SSB.1 CCA
"SSB configuration for dynamic channel accessNote6,7",,,SSB.2 CCA
DBT window configuration,,,DBT.1
PDSCH/PDCCH subcarrier spacing,,kHz,30
EPRE ratio of PSS to SSS,,dB,0
EPRE ratio of PBCH DMRS to SSS,,dB,
EPRE ratio of PBCH to PBCH DMRS,,dB,
EPRE ratio of OCNG DMRS to SSS Note 1,,dB,
EPRE ratio of OCNG to OCNG DMRS Note 1,,dB,
Noc Note2,,dBm/15 kHz,-98
Noc Note2,,dBm/SCS,-95
"SS-RSRP Note 3, 4",,dBm/SCS,-91
Ês/Iot,,dB,4
Ês/Noc,,dB,4
Io Note 3,,dBm/38.16 MHz,-58.50
Propagation Condition,,,AWGN
"NOTE 1:OCNG shall be used such that the cell is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols in slots with downlink transmission bursts. For cells with CCA model, OCNG is transmitted only in the slots with downlink transmission burst and is not transmitted during the muted slots or during DBT window.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for Noc to be fulfilled.NOTE 3:SS-RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:SS-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 5:For UE supporting semi-static channel access and network configuring semi-static channel occupancy.NOTE 6:For UE supporting dynamic channel access and network configuring dynamic channel occupancy.NOTE 7:For UE supporting both semi-static and dynamic cannel access, the UE can be tested under dynamic channel access only..",,,
