Parameter,Unit,Test configuration,Value,,Comment
,,,Test 1,Test 2,
E-UTRA RF Channel Number,,"1, 2",1,,One E-UTRAcarrier frequency is used.
NR RF Chanel Number,,"1, 2",1,,One FR1 NR carrier frequency under CCA is used.
DL CCA model,,,As specified in clause A.3.26.2.1,,
UL CCA model,,,As specified in clause A.3.26.2.2,,
LCCA_DL,,"1, 2",12,5,
WCCA_DL,ms,"1, 2",TPSS/SSS_sync_irat_cca,,
Active cell,,"1, 2",E-UTRA Cell 1 (PCell),,E-UTRA Cell 1 is on E-UTRA RF channel number 1.
Neighbour cell,,"1, 2",NR Cell 2,,NR Cell 2 is on NR RF channel number 1.
Gap Pattern Id,,"1, 2",0,,As specified in clause Table 8.1.2.1-1 of TS 36.133 [15].
Measurement gap offset,,"1, 2",39,,As specified in TS 36.331 [16].
b2-Threshold1,dBm,"1, 2",Note 1,,E-UTRA RSRP/RSRQ/SINR threshold for E-UTRA RSRP measurement on Cell 1 for event B2 [16]
b2-Threshold2NR,dBm,"1, 2",Note 2,,SS-RSRP/ SS-RSRQ/ SS-SINR threshold measurement on Cell 2 for event B2 [16]
Hysteresis,dB,"1, 2",0,,
CP length,,"1, 2",Normal,,
TimeToTrigger,s,"1, 2",0,,
Filter coefficient,,"1, 2",0,,L3 filtering is not used
DRX,,"1, 2",DRX.9,DRX.12,As specified in clause A.3.3
Time offset between serving and neighbour cells,,"1, 2",3s,,Synchronous cells.
T1,s,"1, 2",5,,
T2,s,"1, 2",≥Tidentify_irat_cca_with_index,,Tidentify_irat_cca_with_index is defined in clause 8.1.2.4.21A.1 and 8.1.2.4.22A.1 in TS 36.133
NOTE 1:The value of b2-Threshold1 is defined in table A.12.4.2.4.1-3NOTE 2:The value of b2-Threshold2NR is defined in table A.12.4.2.4.1-4,,,,,
