Parameter,,Unit,Configuration,Cell 1,,Cell 2,,
,,,,T1,T2,T1,,T2
NR RF Channel Number,,,"1, 2, 3",1,,2,,
DL CCA probability for semi-static channel access (PCCA_DL)DL CCA probability PCCA_DL,,,"1, 2, 3",N/A,,0.9375,,
DL CCA probability for dynamic channel access (PCCA_DL_1),,,"1, 2, 3",N/A,,0.75,,
DL CCA probability for dynamic channel access (PCCA_DL_2),,,"1, 2, 3",N/A,,0.75,,
UL CCA probability for semi-static channel access  PCCA_UL,,,"1, 2, 3",N/A,,0.75,,
UL CCA probability for dynamic static channel access  PCCA_UL,,,"1, 2, 3",N/A,,0.87,,
TDD configuration,,,1,N/A,,TDDConf.1.1.CCA,,
,,,2,TDDConf.1.1,,TDDConf.1.1.CCA,,
,,,3,TDDConf.1.2,,TDDConf.1.1.CCA,,
BWchannel,,,1,"10: NPRB,c = 52",,"40: NPRB,c = 106",,
,,,2,"10: NPRB,c = 52",,"40: NPRB,c = 106",,
,,,3,"40: NPRB,c = 106",,"40: NPRB,c = 106",,
BWP BW,,,1,"10: NPRB,c = 52",,"40: NPRB,c = 106",,
,,,2,"10: NPRB,c = 52",,"40: NPRB,c = 106",,
,,,3,"40: NPRB,c = 106",,"40: NPRB,c = 106",,
DRX Cycle,,ms,,Not Applicable,,,,
PDSCH Reference,,,1,SR.1.1 FDD,,SR.1.1 CCA,,
,,,2,SR.1.1 TDD,,SR.1.1 CCA,,
,,,3,SR.2.1 TDD,,SR.1.1 CCA,,
CORESET Reference Channel,,,1,CR.1.1 FDD,,CR.1.1 CCA,,
,,,2,CR.1.1 TDD,,CR.1.1 CCA,,
,,,3,CR.2.1 TDD,,CR.1.1 CCA,,
Dedicated CORESET RMC configuration,,,1,CCR.1.1 FDD,,CCR.1.1 CCA,,
,,,2,CCR.1.1 TDD,,CCR.1.1 CCA,,
,,,3,CCR.2.1 TDD,,CCR.1.1 CCA,,
TRS configuration,,,1,TRS.1.1 FDD,,TRS.1.2 TDD,,
,,,2,TRS.1.1 TDD,,TRS.1.2 TDD,,
,,,3,TRS.1.2 TDD,,TRS.1.2 TDD,,
OCNG Patterns,,,"1, 2, 3",OP.1,,,,
SMTC Configuration,,,"1, 2, 3",SMTC.1,,,,
DBT window configuration,,,"1, 2, 3",N/A,,As defined in A.3.28.1,,
SSB configuration,,,"1, 2",SSB.1 FR1,,SSB.1 CCA for semi-static channel access; SSB.2 CCA for dynamic channel access;,,
,,,3,SSB.2 FR1,,SSB.1 CCA for semi-static channel access; SSB.2 CCA for dynamic channel access;,,
ssb-PositionQCL,,,,N/A,,[1],,
PDSCH/PDCCH subcarrier spacing,,kHz,1,15 kHz,,30 kHz,,
,,,2,15 kHz,,30 kHz,,
,,,3,30 kHz,,30 kHz,,
PUCCH/PUSCH subcarrier spacing,,kHz,1,15 kHz,,30 kHz,,
,,,2,15 kHz,,30 kHz,,
,,,3,30 kHz,,30 kHz,,
PRACH configuration,,,,FR1 PRACH configuration 1,,FR1 PRACH configuration 1 CCA,,
BWP configuration,Initial DL BWP,,"1, 2, 3",DLBWP.0.1,,,,
,Dedicated DL BWP,,"1, 2, 3",DLBWP.1.1,,,,
,Initial UL BWP,,"1, 2, 3",ULBWP.0.1,,,,
,Dedicated UL BWP,,"1, 2, 3",ULBWP.1.1,,,,
EPRE ratio of PSS to SSS,,dB,,0,,,,
EPRE ratio of PBCH DMRS to SSS,,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,,,
Note2,,dBm/15 kHz,,-98,,,,
Note2,,dBm/SCS,"1, 2",-98,,,-95,
,,,3,-95,,,-95,
,,dB,,4,4,-Infinity,,5
,,dB,,4,4,-Infinity,,5
SSB_RP,Config 1,dBm/SCS,"1, 2",-94,-94,-Infinity,,-90
,,,3,-91,-91,-Infinity,,-90
IoNote3,Config 1,dBm/9.36 MHz,"1, 2",-64.59,-64.59,-63.94,,-57.75
,,dBm/38.16 MHz,3,-58.49,-58.49,-63.94,,-57.75
Propagation condition,,-,,AWGN,,AWGN,,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:For UE supporting both semi-static and dynamic cannel access, the UE must be tested under both dynamic and semi-static channel occupancy configurations.",,,,,,,,
