Parameter,,,Unit,Test 1,,Test 2,,
,,,,Cell 1 / Cell 2,Cell 3,Cell 1 / Cell 2,,Cell 3
SSB ARFCN,,,,freq1 for Cell 1freq2 for Cell 2,freq2,freq1 for Cell 1freq2 for Cell 2,,freq2
DL CCA model,,Config 1,,As specified in clause A.3.26.2.1,,,,
UL CCA model,,Config 1,,As specified in clause A.3.26.2.2,,,,
UL CCA probability,,PCCA_UL,,1.0,-,1.0,-,
"DL CCA probability for semi-static channel access Note 7, 8",,PCCA_DL,,0.9375,-,0.9375,-,
"DL CCA probability fordynamic channel access Note 8, 9",,PCCA_DL_1,,0.75,-,0.75,-,
,,PCCA_DL_2,,0.75,-,0.75,-,
Duplex mode,,Config 1,,TDD,,,,
TDD configuration,,Config 1,,TDDConf.1.1 CCA,,,,
Downlink initial BWP configuration,,,,DLBWP.0.1,,,,
Downlink dedicated BWP configuration,,,,DLBWP.1.1,,,,
Uplink initial BWP configuration,,,,ULBWP.0.1,,,,
Uplink dedicated BWP configuration,,,,ULBWP.1.1,,,,
DRX Cycle configuration,,,ms,Not Applicable,,,,
TRS configuration,,Config 1,,TRS.1.2 TDD,,TRS.1.2 TDD,,
PDSCH Reference measurement channel,,Config 1,,SR.1.1 CCA,,SR.1.1 CCA,,
RMSI CORESET Reference Channel,,Config 1,,CR.1.1 CCA,,CR.1.1 CCA,,
Dedicated CORESET Reference Channel,,Config 1,,CCR.1.1 CCA,,CCR.1.1 CCA,,
OCNG Patterns,,,,OP.1,,,,
SS-RSSI-Measurement,,,,Not Applicable,,,,
DBT Window configuration,,Config 1,,DBT.1,,,,
Time offset with Cell 1,,Config 1,s,3 (for Cell 2),3,3 (for Cell 2),,3
SSB configuration,,Config 1,,SSB.1 CCA for semi-static channel accessSSB.2 CCA for dynamic channel access,,,,
SMTC configuration,,Config 1,,SMTC.1,,,,
PDSCH/PDCCH subcarrier spacing,,Config 1,kHz,30,,,,
EPRE ratio of PSS to SSS,,,dB,0,0,0,,0
EPRE ratio of PBCH DMRS to SSS,,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,,,
Note2,,NR_CCA_FR1_I,dBm/15 kHz,-93,,-112,,
,,NR_CCA_FR1_J,,,,-111.5,,
Note2,Config 1,NR_CCA_FR1_I,dBm/SCS,-90,,-109,,
,,NR_CCA_FR1_J,,,,-108.5,,
,,,dB,0,-3.19,-5.46,,-5.46
,,,dB,4.54,2.66,-4,,-4
SS-RSRPNote3,Config 1,NR_CCA_FR1_I,dBm/SCS,-85.46,-87.34,-113,,-113
,,NR_CCA_FR1_J,,,,-112.5,,-112.5
SS-SINR Note3,,NR_CCA_FR1_I,dB,0,-3.19,-5.46,,-5.46
,,NR_CCA_FR1_J,,,,,,
IoNote3,Config 1,NR_CCA_FR1_I,dBm/38.16 MHz,-51.41,,-75.41,,
,,NR_CCA_FR1_J,,,,-74.91,,
Propagation condition,,,-,AWGN,,,,
Antenna configuration,,,-,1x2,,,,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-SINR, SS-RSRP, and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:SS-SINR, SS-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 5:NR operating band groups are as defined in clause 3.5.2. NOTE 6:For UE supporting both semi-static and dynamic cannel access, the UE must be tested under both dynamic and semi-static channel occupancy configuration.NOTE 7:For UE supporting semi-static channel access and network configuring semi-static channel occupancy.NOTE 8:For UE supporting dynamic channel access and network configuring dynamic channel occupancy.NOTE 9:For UE supporting both semi-static and dynamic cannel access, the UE must be tested under both dynamic and semi-static channel occupancy configurations.",,,,,,,,
