Parameter,,Unit,Value,Comment
NR RF Channel Number,,,1,1 NR carrier frequency is used in the test
LTE RF Channel Number,,,2,1 E-UTRAN carrier frequency is used in the test
Initial conditions,Active cell,,Cell 1,NR cell on a carrier under CCA
,Neighbouring cell,,Cell 2,E-UTRAN cell
Final condition,Active cell,,Cell 2,
DL CCA model,,,As specified in clause A.3.26.2.1,
UL CCA model,,,As specified in clause A.3.26.2.2,
NR measurement quantity,,,SS-RSRP,
E-UTRAN measurement quantity,,,RSRP,
b2-Threshold1,,dBm,As specified in table A.11.2.1.7-3,Absolute NR SS-RSRP threshold for event B2
b2-Threshold2EUTRAN,,dBm,-98,Absolute E-UTRAN RSRP threshold for event B2
Hysteresis,,dB,0,
TimeToTrigger,,s,0,
T304,,ms,500,
LCCA_DL,,,5,
WCCA_DL,,ms,T304,
LCCA_UL,,,5,
WCCA_UL,,ms,T304,
Filter coefficient,,,0,L3 filtering is not used
DRX,,,OFF,Non-DRX test
Access Barring Information,,-,Not sent,No additional delays in random access procedure
Time offset between cells,,,3 ms,Asynchronous cells
Gap pattern configuration Id,,,0,As specified in table 9.1.2-1 started before T2 starts
T1,,s,5,
T2,,s,5,
T3,,s,1,
