Parameter,,Unit,Value,Comment
Initial conditions,Active cell,,Cell 1,
,Neighbouring cell,,Cell 2,On the carrier under CCA
Final condition,Active cell,,Cell 2,On the carrier under CCA
DL CCA model,,,As specified in clause A.3.26.2.1,
UL CCA model,,,As specified in clause A.3.26.2.2,
Access Barring Information,,-,Not Sent,No additional delays in random access procedure.
T304,,ms,500,
LCCA_DL,,,5,
WCCA_DL,,ms,T304,
LCCA_UL,,,5,
WCCA_UL,,ms,T304,
T1,,s,5,
T2,,s,Tinterrupt,Tinterrupt is defined in clause 6.1B.1.2
