Parameter,,,,,Unit,,Test 1,,Test 2,
,,,,,,,Cell 1,,Cell 1,
SSB ARFCN,,,,,,,freq1,,,
Duplex mode,,,Config 1,,,,FDD,,,
,,,"Config 2,3",,,,TDD,,,
TDD configuration,,,Config 1,,,,Not Applicable,,,
,,,Config 2,,,,TDDConf.1.1,,,
,,,Config 3,,,,TDDConf.2.1,,,
BWchannel,,,Config 1,,MHz,,"10: NRB,c = 52",,,
,,,Config 2,,,,"10: NRB,c = 52",,,
,,,Config 3,,,,"40: NRB,c = 106",,,
Gap Pattern ID,,,,,,,0,,,
BWP configuration,,,Initial DL BWP,,,,DLBWP.0.1,,,
,,,Dedicated DL BWP,,,,DLBWP.1.1,,,
,,,Initial UL BWP,,,,ULBWP.0.1,,,
,,,Dedicated UL BWP,,,,ULBWP.1.1,,,
DRX Cycle,,,,,ms,,Not Applicable,,,
PDSCH Reference measurement channel,,,Config 1,,,,SR.1.1 FDD,,,
,,,Config 2,,,,SR.1.1 TDD,,,
,,,Config 3,,,,SR2.1 TDD,,,
RMSI CORESET Reference Channel,,,Config 1,,,,CR.1.1 FDD,,,
,,,Config 2,,,,CR.1.1 TDD,,,
,,,Config 3,,,,CR.2.1 TDD,,,
Control Channel RMC,,,Config 1,,,,CCR.1.1 FDD,,,
,,,Config 2,,,,CCR.1.1 TDD,,,
,,,Config 3,,,,CCR.2.1 TDD,,,
TRS Configuration,,,Config 1,,,,TRS.1.1 FDD,,,
,,,Config 2,,,,TRS.1.1 TDD,,,
,,,Config 3,,,,TRS.1.2 TDD,,,
OCNG Patterns,,,,,,,OP. 1,,,
SS-RSSI-Measurement,,,,,,,Not Applicable,,,
SMTC configuration,,,Config 1,,,,SMTC.2,,,
,,,"Config 2,3",,,,SMTC.1,,,
SSB configuration,,,"Config 1,2",,,,SSB.1 FR1,,,
,,,Config 3,,,,SSB.2 FR1,,,
CSI-RS for tracking,,,Config 1,,,,TRS.1.1 FDD,,,
,,,Config 2,,,,TRS.1.1 TDD,,,
,,,Config 3,,,,TRS.1.2 TDD,,,
PDSCH/PDCCH subcarrier spacing,,,"Config 1,2",,kHz,,15 kHz,,,
,,,Config 3,,,,30 kHz,,,
EPRE ratio of PSS to SSS,,,,,dB,,0,,,
EPRE ratio of PBCH DMRS to SSS,,,,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,,,,,
Noc Note2,"Config 1,2",,NR_FDD_FR1_A,,dBm/15kHz,,-85,,-114,
,,,NR_FDD_FR1_B,,,,,,-113.5,
,,,NR_TDD_FR1_C,,,,,,-113,
,,,"NR_FDD_FR1_D, NR_TDD_FR1_D",,,,,,-112.5,
,,,NR_FDD_FR1_E,,,,,,-112,
,,NR_FDD_FR1_G,,,,,,-111,,
,,,NR_FDD_FR1_H,,,,,,-110.5,
,Config 3,,NR_FDD_FR1_A,,,,-91,,-114,
,,,NR_FDD_FR1_B,,,,,,-113.5,
,,,NR_TDD_FR1_C,,,,,,-113,
,,,"NR_FDD_FR1_D, NR_TDD_FR1_D",,,,,,-112.5,
,,,NR_FDD_FR1_E,,,,,,-112,
,,,NR_FDD_FR1_G,,,,,,-111,
,,,NR_FDD_FR1_H,,,,,,-110.5,
Noc Note2,"Config 1,2",,NR_FDD_FR1_A,,dBm/SCS,,-85,,-114,
,,,NR_FDD_FR1_B,,,,,,-113.5,
,,,NR_TDD_FR1_C,,,,,,-113,
,,,"NR_FDD_FR1_D, NR_TDD_FR1_D",,,,,,-112.5,
,,,NR_FDD_FR1_E,,,,,,-112,
,,,NR_FDD_FR1_G,,,,,,-111,
,,,NR_FDD_FR1_H,,,,,,-110.5,
,Config 3,,NR_FDD_FR1_A,,,,-88,,-111,
,,,NR_FDD_FR1_B,,,,,,-110.5,
,,,NR_TDD_FR1_C,,,,,,-110,
,,,"NR_FDD_FR1_D, NR_TDD_FR1_D",,,,,,-109.5,
,,,NR_FDD_FR1_E,,,,,,-109,
,,,NR_FDD_FR1_G,,,,,,-108,
,,,NR_FDD_FR1_H,,,,,,-107.5,
,,,,,dB,,-1.76,,-5.46,
,,,,,dB,,3,,-4,
SS-RSRPNote3,"Config 1,2",,NR_FDD_FR1_A,,dBm/SCS,,-82,,-118,
,,,NR_FDD_FR1_B,,,,,,-117.5,
,,,NR_TDD_FR1_C,,,,,,-117,
,,,"NR_FDD_FR1_D, NR_TDD_FR1_D",,,,,,-116.5,
,,,"NR_FDD_FR1_E,",,,,,,-116,
,,,NR_FDD_FR1_G,,,,,,-115,
,,,NR_FDD_FR1_H,,,,,,-114.5,
,Config 3,,NR_FDD_FR1_A,,,,-85,,-115,
,,,NR_FDD_FR1_B,,,,,,-114.5,
,,,NR_TDD_FR1_C,,,,,,-114,
,,,"NR_FDD_FR1_D, NR_TDD_FR1_D",,,,,,-113.5,
,,,NR_FDD_FR1_E,,,,,,-113,
,,NR_FDD_FR1_G,,,,,,-112,,
,,,NR_FDD_FR1_H,,,,,,-111.5,
SS-RSRQ Note3,,,NR_FDD_FR1_A,,dB,,-14.77,,-17.34,
,,,NR_FDD_FR1_B,,,,,,,
,,,NR_TDD_FR1_C,,,,,,,
,,,"NR_FDD_FR1_D, NR_TDD_FR1_D",,,,,,,
,,,NR_FDD_FR1_E,,,,,,,
,,,NR_FDD_FR1_G,,,,,,,
,,,NR_FDD_FR1_H,,,,,,,
IoNote3,"Config 1,2",,NR_FDD_FR1_A,,dBm/9.36MHz,,-50,,-83.5,
,,,NR_FDD_FR1_B,,,,,,-83,
,,,NR_TDD_FR1_C,,,,,,-82.5,
,,,"NR_FDD_FR1_D, NR_TDD_FR1_D",,,,,,-82,
,,,NR_FDD_FR1_E,,,,,,-81.5,
,,,NR_FDD_FR1_G,,,,,,-80.5,
,,,NR_FDD_FR1_H,,,,,,-80,
,Config 3,,NR_FDD_FR1_A,,dBm/38.16MHz,,-50,,-77.4,
,,,NR_FDD_FR1_B,,,,,,-76.9,
,,,NR_TDD_FR1_C,,,,,,-76.4,
,,,"NR_FDD_FR1_D, NR_TDD_FR1_D",,,,,,-75.9,
,,,NR_FDD_FR1_E,,,,,,-75.4,
,,NR_FDD_FR1_G,,,,,,-74.4,,
,,,NR_FDD_FR1_H,,,,,,-73.9,
Propagation condition,,,,,-,,AWGN,,AWGN,
Antenna configuration,,,,,,,1x2,,1x2,
"Note 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for Noc to be fulfilled.Note 3:SS-RSRQ, SS-RSRP, and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 4:SS-RSRQ, SS-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.Note 5:NR operating band groups are as defined in clause 3.5.2.",,,,,,,,,,
