Primary Cell,Secondary Cell,Resource,Constellation,RM Code Input Bits
"HARQ-ACK(0), HARQ-ACK(1), HARQ-ACK(2), HARQ-ACK(3)","HARQ-ACK(0), HARQ-ACK(1), HARQ-ACK(2), HARQ-ACK(3)",,,
"ACK, ACK, ACK, NACK/DTX","ACK, ACK, ACK, NACK/DTX",,"1, 1","1, 1, 1, 1"
"ACK, ACK, NACK/DTX, any","ACK, ACK, ACK, NACK/DTX",,"0, 0","1, 0, 1, 1"
"ACK, DTX, DTX, DTX","ACK, ACK, ACK, NACK/DTX",,"1, 1","0, 1, 1, 1"
"ACK, ACK, ACK, ACK","ACK, ACK, ACK, NACK/DTX",,"1, 1","0, 1, 1, 1"
"NACK/DTX, any, any, any","ACK, ACK, ACK, NACK/DTX",,"0, 1","0, 0, 1, 1"
"(ACK, NACK/DTX, any, any), except for (ACK, DTX, DTX, DTX)","ACK, ACK, ACK, NACK/DTX",,"0, 1","0, 0, 1, 1"
"ACK, ACK, ACK, NACK/DTX","ACK, ACK, NACK/DTX, any",,"1, 0","1, 1, 1, 0"
"ACK, ACK, NACK/DTX, any","ACK, ACK, NACK/DTX, any",,"1, 0","1, 0, 1, 0"
"ACK, DTX, DTX, DTX","ACK, ACK, NACK/DTX, any",,"0, 1","0, 1, 1, 0"
"ACK, ACK, ACK, ACK","ACK, ACK, NACK/DTX, any",,"0, 1","0, 1, 1, 0"
"NACK/DTX, any, any, any","ACK, ACK, NACK/DTX, any",,"0, 0","0, 0, 1, 0"
"(ACK, NACK/DTX, any, any), except for (ACK, DTX, DTX, DTX)","ACK, ACK, NACK/DTX, any",,"0, 0","0, 0, 1, 0"
"ACK, ACK, ACK, NACK/DTX","ACK, DTX, DTX, DTX",,"1, 1","1, 1, 0, 1"
"ACK, ACK, ACK, NACK/DTX","ACK, ACK, ACK, ACK",,"1, 1","1, 1, 0, 1"
"ACK, ACK, NACK/DTX, any","ACK, DTX, DTX, DTX",,"0, 1","1, 0, 0, 1"
"ACK, ACK, NACK/DTX, any","ACK, ACK, ACK, ACK",,"0, 1","1, 0, 0, 1"
"ACK, DTX, DTX, DTX","ACK, DTX, DTX, DTX",,"1, 0","0, 1, 0, 1"
"ACK, DTX, DTX, DTX","ACK, ACK, ACK, ACK",,"1, 0","0, 1, 0, 1"
"ACK, ACK, ACK, ACK","ACK, DTX, DTX, DTX",,"1, 0","0, 1, 0, 1"
"ACK, ACK, ACK, ACK","ACK, ACK, ACK, ACK",,"1, 0","0, 1, 0, 1"
"NACK/DTX, any, any, any","ACK, DTX, DTX, DTX",,"0, 0","0, 0, 0, 1"
"NACK/DTX, any, any, any","ACK, ACK, ACK, ACK",,"0, 0","0, 0, 0, 1"
"(ACK, NACK/DTX, any, any), except for (ACK, DTX, DTX, DTX)","ACK, DTX, DTX, DTX",,"0, 0","0, 0, 0, 1"
"(ACK, NACK/DTX, any, any), except for (ACK, DTX, DTX, DTX)","ACK, ACK, ACK, ACK",,"0, 0","0, 0, 0, 1"
"ACK, ACK, ACK, NACK/DTX","NACK/DTX, any, any, any",,"1, 0","1, 1, 0, 0"
"ACK, ACK, ACK, NACK/DTX","(ACK, NACK/DTX, any, any), except for (ACK, DTX, DTX, DTX)",,"1, 0","1, 1, 0, 0"
"ACK, ACK, NACK/DTX, any","NACK/DTX, any, any, any",,"0, 1","1, 0, 0, 0"
"ACK, ACK, NACK/DTX, any","(ACK, NACK/DTX, any, any), except for (ACK, DTX, DTX, DTX)",,"0, 1","1, 0, 0, 0"
"ACK, DTX, DTX, DTX","NACK/DTX, any, any, any",,"1, 1","0, 1, 0, 0"
"ACK, DTX, DTX, DTX","(ACK, NACK/DTX, any, any), except for (ACK, DTX, DTX, DTX)",,"1, 1","0, 1, 0, 0"
"ACK, ACK, ACK, ACK","NACK/DTX, any, any, any",,"1, 1","0, 1, 0, 0"
"ACK, ACK, ACK, ACK","(ACK, NACK/DTX, any, any), except for (ACK, DTX, DTX, DTX)",,"1, 1","0, 1, 0, 0"
"NACK, any, any, any","NACK/DTX, any, any, any",,"0, 0","0, 0, 0, 0"
"NACK, any, any, any","(ACK, NACK/DTX, any, any), except for (ACK, DTX, DTX, DTX)",,"0, 0","0, 0, 0, 0"
"(ACK, NACK/DTX, any, any), except for (ACK, DTX, DTX, DTX)","NACK/DTX, any, any, any",,"0, 0","0, 0, 0, 0"
"(ACK, NACK/DTX, any, any), except for (ACK, DTX, DTX, DTX)","(ACK, NACK/DTX, any, any), except for (ACK, DTX, DTX, DTX)",,"0, 0","0, 0, 0, 0"
"DTX, any, any, any","NACK/DTX, any, any, any",No Transmission,,"0, 0, 0, 0"
"DTX, any, any, any","(ACK, NACK/DTX, any, any), except for (ACK, DTX, DTX, DTX)",No Transmission,,"0, 0, 0, 0"
