Value of 'Subframe configuration for LAA' field in current subframe,"Configuration of occupied OFDM symbols(current subframe, next subframe)"
0000,"(-,14)"
0001,"(-,12)"
0010,"(-,11)"
0011,"(-,10)"
0100,"(-,9)"
0101,"(-,6)"
0110,"(-,3)"
0111,"(14,*)"
1000,"(12,-)"
1001,"(11,-)"
1010,"(10,-)"
1011,"(9,-)"
1100,"(6,-)"
1101,"(3,-)"
1110,reserved
1111,reserved
"NOTE:- (-, Y) means UE may assume the first Y symbols are occupied in next subframe and other symbols in the next subframe are not occupied.- (X, -) means UE may assume the first X symbols are occupied in current subframe and other symbols in the current subframe are not occupied.- (X, *) means UE may assume the first X symbols are occupied in current subframe, and at least the first OFDM symbol of the next subframe is not occupied.",
