Higher layer parameter 'eimta-HARQ-ReferenceConfig-r12',Higher layer parameter 'subframeAssignment',Subframe n,,,,,,,,,
,,0,1,2,3,4,5,6,7,8,9
2,0,-,-,"7,8,4",-,-,-,-,"7,8,4",-,-
,1,-,-,"8,4",-,-,-,-,"8,4",-,-
,6,-,-,"6,8,4",-,-,-,-,"8,6,4",-,-
4,0,-,-,"12,7,11,8","7,4,5,6",-,-,-,-,-,-
,1,-,-,"12,8,11","7,5,6",-,-,-,-,-,-
,3,-,-,"12,8","4,7",-,-,-,-,-,-
,6,-,-,"12,11,8","4,5,6",-,-,-,-,-,-
5,0,-,-,"12,7,11,13,8,4,9,5",-,-,-,-,-,-,-
,1,-,-,"13,12,8,11,4,9,5",-,-,-,-,-,-,-
,2,-,-,"13,12,9,11,5",-,-,-,-,-,-,-
,3,-,-,"13,12,5,4,8,9",-,-,-,-,-,-,-
,4,-,-,"13,5,4,6,9",-,-,-,-,-,-,-
,6,-,-,"13,12,11,6,8,4,9,5",-,-,-,-,-,-,-
