Change history,,,,,,,,,,,,,,,,
Date,,Meeting,,TDoc,,CR,,Rev,,Cat,,Subject/Comment,,New version,,
2025-03,,RAN#107,,RP-250621,,5231,,,,B,,CR to 38.133 - Introduction of bands n87-n88,,19.0.0,,
2025-03,,RAN#107,,RP-250627,,5232,,,,B,,CR to TS38.133 on introduction of NR band n110,,19.0.0,,
2025-03,,RAN#107,,RP-250622,,5297,,,,B,,CR to TS 38.133- Introduction of NR band n68,,19.0.0,,
2025-03,,RAN#107,,RP-250626,,5307,,1,,B,,Big CR for less than 5MHz RRM requirements in Rel-19,,19.0.0,,
2025-06,,RAN#108,,RP-250915,,5453,,,,A,,(NR_pos-Perf) CR to TS 38.133: Corrections to NR Positioning test cases (Rel 19),,19.1.0,,
2025-06,,RAN#108,,RP-250919,,5454,,,,A,,(NR_pos_enh-Perf) CR to TS 38.133: Corrections to NR Enhanced Positioning test cases (Rel 19),,19.1.0,,
2025-06,,RAN#108,,RP-250920,,5457,,1,,A,,CR on Link Recovery Procedures for NTN,,19.1.0,,
2025-06,,RAN#108,,RP-250926,,5459,,,,A,,CR on TRP specific Beam Failure Detection and Link Recovery for FR2 Pcell,,19.1.0,,
2025-06,,RAN#108,,RP-250926,,5461,,,,A,,CR for Multi-Rx test case maintenance,,19.1.0,,
2025-06,,RAN#108,,RP-250928,,5463,,,,A,,CR for LTM L1 measurement requirement maintenance,,19.1.0,,
2025-06,,RAN#108,,RP-250915,,5468,,,,A,,(NR_RRM_Enh-Perf)Correction to CGI measurement test case,,19.1.0,,
2025-06,,RAN#108,,RP-250915,,5474,,,,A,,(NR_RRM_Enh-Perf) CR for SA intra-frequency CGI identification of NR neighbor cell in FR1 - R19,,19.1.0,,
2025-06,,RAN#108,,RP-250911,,5484,,,,A,,CR for RRC based BWP switching for R19,,19.1.0,,
2025-06,,RAN#108,,RP-250932,,5493,,1,,A,,CR for TS 38.133 to add UL RSCP reporting mapping requirement (Rel-19),,19.1.0,,
2025-06,,RAN#108,,RP-250934,,5498,,,,A,,CR to TS 38.133 on RMSI CORESET Reference Channel for FDD with SCS=15KHz for Less than 5MHz UEs,,19.1.0,,
2025-06,,RAN#108,,RP-250928,,5500,,,,A,,CR to 38.133 on Rel-18 LTM PDCCH ordered RACH core requirements,,19.1.0,,
2025-06,,RAN#108,,RP-250929,,5507,,,,A,,CR on Correction for 38.133: clauses 6.1.4.2.2,,19.1.0,,
2025-06,,RAN#108,,RP-250921,,5510,,,,A,,(NR_redcap-Core) CR to TS 38.133 Correction of scheduling availability for HD-FDD Redcap UE,,19.1.0,,
2025-06,,RAN#108,,RP-250924,,5512,,,,A,,(NR_ATG-Core) CR to TS 38.133 Correction of L1 sharing factor for Inter-frequency measurements without measurement gaps for ATG UE,,19.1.0,,
2025-06,,RAN#108,,RP-250930,,5514,,,,A,,(NR_NTN_enh-Core) CR to TS 38.133 Correction of inter-RAT E-UTRAN cells with TN carrier measurement for NTN UE,,19.1.0,,
2025-06,,RAN#108,,RP-250928,,5516,,,,A,,CR on R18 LTM RRM performance requirements,,19.1.0,,
2025-06,,RAN#108,,RP-250927,,5518,,,,A,,CR on BWP switching requirements for multi-carrier enhancements,,19.1.0,,
2025-06,,RAN#108,,RP-250928,,5520,,,,A,,CR on R18 LTM Test Cases,,19.1.0,,
2025-06,,RAN#108,,RP-250928,,5525,,,,A,,CR for correction on test cases on CHO with PSCell change and CHO with CPC,,19.1.0,,
2025-06,,RAN#108,,RP-250921,,5528,,,,A,,CR for correction on test cases on Handover with PSCell change,,19.1.0,,
2025-06,,RAN#108,,RP-250928,,5530,,,,A,,(NR_Mob_enh2-Perf) Correction on Principle of Testing in NR-DC,,19.1.0,,
2025-06,,RAN#108,,RP-250933,,5533,,,,A,,CR to TS 38.133:  NR channel BW less than 5MHz for FR1,,19.1.0,,
2025-06,,RAN#108,,RP-250928,,5535,,,,A,,(NR_Mob_enh2-Core) Measurement restrictions for CSI-RS based measurement,,19.1.0,,
2025-06,,RAN#108,,RP-250929,,5537,,,,A,,(NR_redcap_enh-Core) Correction on eRedCap UE,,19.1.0,,
2025-06,,RAN#108,,RP-250960,,5538,,,,F,,CR to TS 38.133: NR channel BW less than 5MHz for FR1,,19.1.0,,
2025-06,,RAN#108,,RP-250916,,5542,,,,A,,CR on measurement period for CCA,,19.1.0,,
2025-06,,RAN#108,,RP-250913,,5546,,,,A,,(NR_2step_RACH-Perf) Correction to 2-step RACH RMCs_R19,,19.1.0,,
2025-06,,RAN#108,,RP-250916,,5550,,,,A,,(NR_unlic-Perf) Correction to NR-U 2-step RACH RMCs_R19,,19.1.0,,
2025-06,,RAN#108,,RP-250926,,5552,,,,A,,(NR_DualTxRx_MUSIM-Perf) Correction to MUSIM gap test cases_R19,,19.1.0,,
2025-06,,RAN#108,,RP-250927,,5554,,,,A,,(NR_MG_enh2-Perf) Correction to inter-RAT NR measurement without gap test cases_R19,,19.1.0,,
2025-06,,RAN#108,,RP-250927,,5556,,,,A,,(NR_MG_enh2-Perf) Correction to Rel-18 concurrent gap with NCSG test cases_R19,,19.1.0,,
2025-06,,RAN#108,,RP-250927,,5558,,,,A,,(NR_MG_enh2-Perf) Correction to Rel-18 concurrent gap with Pre-MG test cases_R19,,19.1.0,,
2025-06,,RAN#108,,RP-250921,,5561,,,,A,,(NR_RRM_enh2-Core) CR on core maintenance for PUCCH Scell activation R19 (cat A),,19.1.0,,
2025-06,,RAN#108,,RP-250921,,5564,,,,A,,(NR_RRM_enh2-Perf) CR on TC maintenance for PUCCH Scell activation R19 (cat A),,19.1.0,,
2025-06,,RAN#108,,RP-250926,,5566,,,,A,,CR on TC maintenance for R18 multi-Rx TCI R19 (cat A),,19.1.0,,
2025-06,,RAN#108,,RP-250943,,5569,,1,,B,,CR on introducing antenna connections for 6Rx capable UEs,,19.1.0,,
2025-06,,RAN#108,,RP-250928,,5571,,,,A,,(NR_Mob_enh2-Core) Corrections on LTM core requirements,,19.1.0,,
2025-06,,RAN#108,,RP-250929,,5573,,,,A,,(NR_redcap_enh-Core) Correction to TA validation requirements for RedCap R19,,19.1.0,,
2025-06,,RAN#108,,RP-250921,,5576,,,,A,,(NR_redcap-Core) Correction on requirements for HD-FDD RedCap UE R19,,19.1.0,,
2025-06,,RAN#108,,RP-250913,,5580,,,,A,,(NR_eMIMO-Perf) CR on L1-SINR performance requirements R19,,19.1.0,,
2025-06,,RAN#108,,RP-250926,,5582,,,,A,,(NR_SmallData_INACTIVE-Core) CR on CG-SDT requirements R19,,19.1.0,,
2025-06,,RAN#108,,RP-250920,,5585,,,,A,,(NR_NTN_solutions-Core) CR on measurement requirements for NTN R19,,19.1.0,,
2025-06,,RAN#108,,RP-250919,,5588,,,,A,,(NR_MG_enh-Core) CR on gap sharing for NCSG R19,,19.1.0,,
2025-06,,RAN#108,,RP-250927,,5592,,,,A,,CR on CSSF for R18 MG enhancement R19,,19.1.0,,
2025-06,,RAN#108,,RP-250923,,5594,,,,A,,CR on core requirements for BWP operation without restriction R19,,19.1.0,,
2025-06,,RAN#108,,RP-250930,,5596,,,,A,,CR on measurement requirements for FR2-NTN R19,,19.1.0,,
2025-06,,RAN#108,,RP-250930,,5598,,,,A,,CR on measurement accuracy requirements for FR2-NTN R19,,19.1.0,,
2025-06,,RAN#108,,RP-250932,,5600,,,,A,,CR on RRM requirements for SL positioning R19,,19.1.0,,
2025-06,,RAN#108,,RP-250932,,5602,,,,A,,CR on accuracy requirements for RedCap positioning R19,,19.1.0,,
2025-06,,RAN#108,,RP-250960,,5605,,1,,F,,CR on RRM requirements for less than 5MHz Ph2,,19.1.0,,
