Parameter,NR operating band groups Note1,Minimum CSI-RS_RP,,,CSI-RS CMR Ês/Iot
,,dBm / SCSCSI-RS,,,dB
,,SCSCSI-RS = 15 kHz,SCSCSI-RS = 30 kHz,SCSCSI-RS = 60 kHz,
Conditions,"NR_FDD_FR1_A, NR_TDD_FR1_A, NR_SDL_FR1_A",-124,-121,-118,-3
,"NR_FDD_FR1_B,NR_TDD_FR1_B",-123.5,-120.5,-117.5,
,"NR_FDD_FR1_C,NR_TDD_FR1_C",-123,-120,-117,
,"NR_FDD_FR1_D, NR_TDD_FR1_D",-122.5,-119.5,-116.5,
,"NR_FDD_FR1_E, NR_TDD_FR1_E",-122,-119,-116,
,NR_FDD_FR1_F,-121.5,-118.5,-115.5,
,"NR_FDD_FR1_G, NR_TDD_FR1_G,NR_SDL_FR1_G",-121,-118,-115,
,NR_FDD_FR1_H,-120.5,-117.5,-114.5,
,NR_FDD_ FR1_N,-117.5,-114.5,-111.5,
NOTE 1:NR operating band groups are defined in clause 3.5.2.,,,,,
