Parameter,NR operating band groups Note1,Minimum CSI_RP,,,CSI-RS Ês/Iot
,,dBm / SCSCSI-RS,,,dB
,,SCSCSI-RS = 15 kHz,SCSCSI-RS = 30 kHz,SCSCSI-RS = 60 kHz,
Conditions,"NR_FDD_FR1_A, NR_TDD_FR1_A, NR_SDL_FR1_A",-125,-122,-119,-6
,"NR_FDD_FR1_B,NR_TDD_FR1_B",-124.5,-121.5,-118.5,
,"NR_FDD_FR1_C,NR_TDD_FR1_C",-124,-121,-118,
,"NR_FDD_FR1_D, NR_TDD_FR1_D",-124.5,-120.5,-117.5,
,"NR_FDD_FR1_E, NR_TDD_FR1_E",-123,-120,-117,
,NR_FDD_FR1_F,-122.5,-119.5,-116.5,
,"NR_FDD_FR1_G, NR_TDD_FR1_G,NR_SDL_FR1_G",-122,-119,-116,
,NR_FDD_FR1_H,-121.5,-118.5,-115.5,
,NR_FDD_ FR1_N,-118.5,-115.5,-112.5,
NOTE 1:NR operating band groups are defined in clause 3.5.2.,,,,,
