Parameter,Angle of arrival,NR operating bands,"Minimum CSI-RS_RP Note 2, Note 3",,,,,,CSI-RS Ês/Iot
,,,dBm / SCSCSI-RS,,,,,,dB
,,,SCSCSI-RS = 60 kHz,,,,,SCSCSI-RS = 120 kHz,
,,,UE Power class,,,,,UE Power class,
,,,1,2,3,4,5,"1, 2, 3, 4, 5",
Conditions,Rx Beam Peak,n257,-110.3,-113.8,-112.1,-127.8+Y4,-123.4+Y5,(Value for SCSCSI-RS = 60 kHz) +3 dB,≥-3
,,n258,-110.3,-113.8,-112.1,-127.8+Y4,-123.6+Y5,,
,,n259,,,-108.5,,-120.5+Y5,,
,,n260,-107.3,,-109.5,-125.8+Y4,,,
,,n261,-110.3,-113.8,-112.1,-127.8+Y4,,,
,Spherical coverage Note 1,n257,-102.3,-102.8,-101.2,-118.8+Z4,-115.4+Z5,(Value for SCSCSI-RS = 60 kHz) +3 dB,≥-3
,,n258,-102.3,-102.8,-101.2,-118.8+Z4,-115.6+Z5,,
,,n259,,,-95.7,,-112.5+Z5,,
,,n260,-99.3,,-96.9,-113.8+Z4,,,
,,n261,-102.3,-102.8,-101.2,-118.8+Z4,,,
"NOTE 1:Values based on EIS spherical coverage as defined in clause 7.3.4 of TS 38.101-2 [19]. Side condition applies for directions in which EIS spherical coverage requirement is met.NOTE 2:Values specified at the Reference point to give minimum CSI-RS Ês/Iot, with no applied noise.NOTE 3:For UEs that support multiple FR2 bands, Rx Beam Peak values are increased by ∆MBP,n and Spherical coverage values are increased by ∆MBS,n, the UE multi-band relaxation factor in dB specified in clause 6.2.1 of TS 38.101-2 [19].",,,,,,,,,
