Parameter,NR operating band groups Note1,Minimum SSB_RP,,SSB Ês/Iot
,,dBm / SCSSSB,,dB
,,SCSSSB = 15 kHz,SCSSSB = 30 kHz,
Conditions,"NR_FDD_FR1_A, NR_TDD_FR1_A, NR_SDL_FR1_A",-124,-121,-3
,"NR_FDD_FR1_B, NR_TDD_FR1_B",-123.5,-120.5,
,"NR_FDD_FR1_C, NR_TDD_FR1_C",-123,-120,
,"NR_FDD_FR1_D, NR_TDD_FR1_D",-122.5,-119.5,
,"NR_FDD_FR1_E, NR_TDD_FR1_E",-122,-119,
,NR_FDD_FR1_F,-121.5,-118.5,
,"NR_FDD_FR1_G, NR_TDD_FR1_G,NR_SDL_FR1_G",-121,-118,
,NR_FDD_FR1_H,-120.5,-117.5,
,NR_FDD_ FR1_N,-117.5,-114.5,
NOTE 1:NR operating band groups are defined in clause 3.5.2.,,,,
