Parameter,Angle of arrival,NR operating bands,"Minimum SRS_RP Note 2, Note 3",,,,,,SRS Ês/Iot
,,,dBm / SCSSRS,,,,,,dB
,,,SCSSRS = 60 kHz,,,,,SCSSRS = 120 kHz,
,,,UE Power class,,,,,UE Power class,
,,,1,2,3,4,5,"1, 2, 3, 4, 5",
Conditions,Rx Beam Peak,n257,-124.5,-119.0,-115.3,-124.0,-119.6,(Value for SCSSRS = 60 kHz) +3 dB,≥1
,,n258,-124.5,-119.0,-115.3,-124.0,-119.8,,
,,n260,-121.5,,-112.7,-122.0,,,
,,n261,-124.5,-119.0,-115.3,-124.0,,,
,Spherical coverage Note 1,n257,-116.5,-108.0,-104.4,-115.0,-111.6,(Value for SCSSRS = 60 kHz) +3 dB,≥1
,,n258,-116.5,-108.0,-104.4,-115.0,-111.8,,
,,n260,-113.5,,-100.1,-110.0,,,
,,n261,-116.5,-108.0,-104.4,-115.0,,,
"NOTE 1:Values based on EIS spherical coverage as defined in clause 7.3.4 of TS 38.101-2 [19]. Side condition applies for directions in which EIS spherical coverage requirement is met.NOTE 2:Values specified at the Reference point to give minimum SRS Ês/Iot, with no applied noise.NOTE 3:For UEs that support multiple FR2 bands, Rx Beam Peak values are increased by ∆MBP,n and Spherical coverage values are increased by ∆MBS,n, the UE multi-band relaxation factor in dB specified in clause 6.2.1 of TS 38.101-2 [19].",,,,,,,,,
