Parameter,Angle of arrival,NR operating bands,"Minimum PRP1,2 Note 2, Note 3",,,,,,PRS Ês/Iot,
,,,dBm / SCSPRS,,,,,,dB,
,,,SCSPRS = 120 kHz,,,,,SCSPRS = 60 kHz,,
,,,UE power class,,,,,UE power class,,
,,,1,2,3,4,5,"1, 2, 3, 4",,
Conditions,Rx Beam Peak,n257,-110.3,-113.8,-112.1,-127.8+Y4,-117.4+Y5,(Value for SCSPRS = 120 kHz) - 3 dB,-6 Note4 -13 Note5 -3 Note6 -10 Note8,-6 Note7 -3 Note8 0 Note9
,,n258,-110.3,-113.8,-112.1,-127.8+Y4,-117.6+Y5,,,
,,n259,,,-108.5,-124.7+Y4,-114.5+Y5,,,
,,n260,-107.3,,-109.5,-125.8+Y4,,,,
,,n261,-110.3,-113.8,-112.1,-127.8+Y4,,,,
,,n262,-105.3,-108.6,-106.6,-121.8+Y4,,,,
,Spherical coverage Note 1,n257,-102.3,-102.8,-101.2,-118.8+Z4,-109.4+Z5,(Value for SCSPRS = 120 kHz) - 3 dB,-6 Note4 -13 Note5 -3 Note6 -10 Note8,-6 Note7 -3 Note8 0 Note9
,,n258,-102.3,-102.8,-101.2,-118.8+Z4,,,,
,,n259,,,-95.7,-115.7+Z4,-101.6+Z5,,,
,,n260,-99.3,,-96.9,-113.8+Z4,,,,
,,n261,-102.3,-102.8,-101.2,-118.8+Z4,,,,
,,n262,-97.1,-94.7,-93.5,-109.7+Z4,,,,
"NOTE 1:Values based on EIS spherical coverage as defined in clause 7.3.4 of TS 38.101-2 [19]. Side condition applies for directions in which EIS spherical coverage requirement is met.NOTE 2:Values specified at the Reference point to give minimum PRS Ês/Iot, with no applied noise.NOTE 3:For UEs that support multiple FR2 bands, Rx Beam Peak values are increased by ∆MBP,n and spherical coverage values are increased by ∆MBS,n, the UE multi-band relaxation factor in dB specified in clause 6.2.1 of TS 38.101-2 [19].NOTE 4:PRS Ês/Iot for RSTD measurement reference cell PRS resource, and RSCPD measurement reference cell PRS resource.NOTE 5:PRS Ês/Iot for RSTD measurement neighbor cell PRS resource, and RSCPD measurement neighbor cell PRS resource, PRS-RSRP measurement, PRS-RSRPP measurement and UE Rx-Tx time difference measurement, and DL RSCP measurement.NOTE 6:PRS Ês/Iot for PRS-RSRP measurement, PRS-RSRPP measurement and UE Rx-Tx time difference measurement, DL RSCP measurement, and PRS-RSRP measurement when performed by 1Rx RedCap UE.NOTE 7:PRS Ês/Iot for RSTD measurement neighbor cell PRS resource, RSCPD measurement neighbor cell PRS resource, PRS-RSRP measurement, PRS-RSRPP measurement, UE Rx-Tx time difference measurement when performed with reduced number of samples, and DL RSCP measurement.NOTE 8:PRS Ês/Iot for RSTD measurement reference cell PRS resource when performed with reduced number of samples, and DL RSCPD measurement reference cell PRS resource.NOTE 9:PRS Ês/Iot for PRS-RSRP measurement, PRS-RSRPP measurement,  and UE Rx-Tx time difference measurement when performed with reduced number of samples, and DL RSCP measurement.NOTE 10:Void.",,,,,,,,,,
