Parameter,Angle of arrival,NR operating bands,"Minimum SSB_RP Note 2, Note 3",,,,,,,SSB Ês/Iot
,,,dBm / SCSSSB,,,,,,,dB
,,,SCSSSB = 120 kHz,,,,,,SCSSSB = 240 kHz,
,,,UE Power class,,,,,,UE Power class,
,,,1,2,3,4,5,6,"1, 2, 3, 4, 5, 6",
Conditions,Rx Beam Peak,n257,-107.3,-110.8,-109.1,-124.8+Y4,-104.9,-104.9,(Value for SCSSSB = 120 kHz) +3 dB,≥-4
,,n258,-107.3,-110.8,-109.1,-124.8+Y4,-105.1,-105.1,,
,,n259,,,-105.5,,-102.0,,,
,,n260,-104.3,,-106.5,-122.8+Y4,,,,
,,n261,-107.3,-110.8,-109.1,-124.8+Y4,,-104.9,,
,,n262,-102.3,-105.6,-103.6,-118.8+Y4,,,,
,Spherical coverage Note 1,n257,-99.3,-99.8,-98.2,-115.8+Z4,-96.9,-96.9,(Value for SCSSSB = 120 kHz) +3 dB,≥-4
,,n259,,,-92.7,,,,,
,,n258,-99.3,-99.8,-98.2,-115.8+Z4,-97.1,-97.1,,
,,n260,-96.3,,-93.9,-110.8+Z4,,,,
,,n261,-99.3,-99.8,-98.2,-115.8+Z4,,-96.9,,
,,n262,-94.1,-93.7,-90.5,-106.7+Z4,,,,
"NOTE 1:Values based on EIS spherical coverage as defined in clause 7.3.4 of TS 38.101-2 [19]. Side condition applies for directions in which EIS spherical coverage requirement is met.NOTE 2:Values specified at the Reference point to give minimum SSB Ês/Iot, with no applied noise.NOTE 3:For UEs that support multiple FR2 bands, Rx Beam Peak values are increased by ∆MBP,n and Spherical coverage values are increased by ∆MBS,n, the UE multi-band relaxation factor in dB specified in clause 6.2.1 of TS 38.101-2 [19].",,,,,,,,,,
