Parameter,Angle of arrival,NR operating bands,,,"Minimum SSB_RP Note 2, Note 3",,,,,SSB Ês/Iot
,,,,,dBm / SCSSSB,,,,,dB
,,,SCSSSB = 120 kHz,,,,,,SCSSSB = 240 kHz,
,,,UE Power class,,,,,,UE Power class,
,,,1,2,3,4,5,7,"1, 2, 3, 4, 5, 7",
Conditions,Rx Beam Peak,n257,-107.3,-110.8,-109.1,-124.8+Y4,-120.4+Y5,-113.1+Y7,(Value for SCSSSB = 120 kHz) +3 dB,≥-4
,,n258,-107.3,-110.8,-109.1,-124.8+Y4,-120.6+Y5,-113.1+Y7,,
,,n261,-107.3,-110.8,-109.1,-124.8+Y4,,-113.1+Y7,,
,Spherical coverage Note 1,n257,-99.3,-99.8,-98.2,-115.8+Z4,-112.4+Z5,-102.2+Z7,(Value for SCSSSB = 120 kHz) +3 dB,≥-4
,,n258,-99.3,-99.8,-98.2,-115.8+Z4,-112.6+Z5,-102.2+Z7,,
,,n261,-99.3,-99.8,-98.2,-115.8+Z4,,-102.2+Z7,,
"NOTE 1:Values based on EIS spherical coverage as defined in clause 7.3.4 of TS 38.101-2 [19]. Side condition applies for directions in which EIS spherical coverage requirement is met.NOTE 2:Values specified at the Reference point to give minimum SSB Ês/Iot, with no applied noise.NOTE 3:For UEs that support multiple FR2 bands, Rx Beam Peak values are increased by ∆MBP,n and Spherical coverage values are increased by ∆MBS,n, the UE multi-band relaxation factor in dB specified in clause 6.2.1 of TS 38.101-2 [19].",,,,,,,,,,
