Parameter,NR operating band groups Note1,"Minimum PRP1,2",,,PRS Ês/Iot,
,,dBm / SCSPRS,,,dB,
,,SCSPRS = 15 kHz,SCSPRS = 30 kHz,SCSPRS = 60 kHz,,
Conditions,"NR_FDD_FR1_A, NR_TDD_FR1_A, NR_SDL_FR1_A",-127,-124,-121,-6 Note2 -13 Note3 -3 Note4 -10 Note8,-6 Note5 -3 Note6 0 Note7
,"NR_FDD_FR1_B,NR_TDD_FR1_B",-126.5,-123.5,-120.5,,
,"NR_FDD_FR1_C,NR_TDD_FR1_C",-126,-123,-120,,
,"NR_FDD_FR1_D, NR_TDD_FR1_D",-125.5,-122.5,-119.5,,
,"NR_FDD_FR1_E, NR_TDD_FR1_E",-125,-122,-119,,
,NR_FDD_FR1_F,-124.5,-121.5,-118.5,,
,"NR_FDD_FR1_G, NR_TDD_FR1_G,NR_SDL_FR1_G",-124,-121,-118,,
,NR_FDD_FR1_H,-123.5,-120.5,-117.5,,
,NR_FDD_FR1_N,-120.5,-117.5,-114.5,,
"NOTE 1:NR operating band groups are defined in clause 3.5.2.NOTE 2:PRS Ês/Iot for RSTD measurement reference cell PRS resource, and RSCPD measurement reference cell PRS resource. NOTE 3:PRS Ês/Iot for RSTD measurement neighbor cell PRS resource, and RSCPD measurement neighbor cell PRS resource, PRS-RSRP measurement, PRS-RSRPP measurement and UE Rx-Tx time difference measurement, and DL RSCP measurement.NOTE 4:PRS Ês/Iot for PRS-RSRP measurement, PRS-RSRPP measurement, UE Rx-Tx time difference measurement, DL RSCP measurement, and PRS-RSRP measurement when performed by 1Rx RedCap UE. NOTE 5:PRS Ês/Iot for RSTD measurement neighbor cell PRS resource, RSCPD measurement neighbor cell PRS resource, PRS-RSRP measurement, PRS-RSRPP measurement, UE Rx-Tx time difference measurement when performed with reduced number of samples, and DL RSCP measurement.NOTE 6:PRS Ês/Iot for RSTD measurement reference cell PRS resource when performed with reduced number of samples, and DL RSCPD measurement reference cell PRS resource.NOTE 7:PRS Ês/Iot for PRS-RSRP measurement, PRS-RSRPP measurement, UE Rx-Tx time difference measurement when performed with reduced number of samples, and DL RSCP measurement.NOTE 8:PRS Ês/Iot for RSTD measurement neighbor cell PRS resource, UE Rx-Tx measurements when performed by 1Rx RedCap UE, and PRS-RSRPP measurement when performed by 1Rx RedCap UE.",,,,,,
