Parameter,NR operating band groups Note1,Minimum CSI_RP,,,CSI-RS Ês/Iot
,,dBm / SCSCSI-RS,,,dB
,,SCSCSI-RS = 15 kHz,SCSCSI-RS = 30 kHz,SCSCSI-RS = 60 kHz,
Conditions,"NR_FDD_FR1_A, NR_TDD_FR1_A, NR_SDL_FR1_A",-127,-124,-121,-6
,"NR_FDD_FR1_B,NR_TDD_FR1_B",-126.5,-123.5,-120.5,
,"NR_FDD_FR1_C,NR_TDD_FR1_C",-126,-123,-120,
,"NR_FDD_FR1_D, NR_TDD_FR1_D",-125.5,-122.5,-119.5,
,"NR_FDD_FR1_E, NR_TDD_FR1_E",-125,-122,-119,
,NR_FDD_FR1_F,-124.5,-121.5,-118.5,
,"NR_FDD_FR1_G, NR_TDD_FR1_G,NR_SDL_FR1_G",-124,-121,-118,
,NR_FDD_FR1_H,-123.5,-120.5,-117.5,
,NR_FDD_ FR1_N,-120.5,-117.5,-114.5,
NOTE 1:NR operating band groups are defined in clause 3.5.2.,,,,,
