NR CA configuration,Uplink CA configuration or single uplink carrier10,NR Band,Channel bandwidth (MHz) (NOTE 3),Bandwidth combination set
CA_n41A-n48A,CA_n41A-n48A,n41,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n48,"5, 10, 15, 20, 40, 506, 606, 806, 906, 1006",
,,n41,See n41 channel bandwidths in Table 5.3.5-1,4 and 5
,,n48,See n48 channel bandwidths in Table 5.3.5-1,
CA_n41A-n48B,CA_n41A-n48A,n41,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n48,CA_n48B_BCS2,
CA_n41A-n48C,CA_n41A-n48A,n41,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n48,CA_n48C_BCS1,
CA_n41A-n48(2A),CA_n41A-n48A,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",0
,,n48,CA_n48(2A)_BCS0,
,,n41,See n41 channel bandwidths in Table 5.3.5-1,4 and 5
,,n48,CA_n48(2A)_BCS4 and 5,
CA_n41C-n48A,CA_n41A-n48A,n41,CA_n41C_BCS2,0
,,n48,"5, 10, 15, 20, 40, 506, 606, 806, 906, 1006",
CA_n41C-n48B,CA_n41A-n48A,n41,CA_n41C_BCS2,0
,,n48,CA_n48B_BCS2,
CA_n41C-n48C,CA_n41A-n48A,n41,CA_n41C_BCS2,0
,,n48,CA_n48C_BCS1,
CA_n41(2A)-n48A,CA_n41A-n48A,n41,CA_n41(2A)_BCS3,0
,,n48,"5, 10, 15, 20, 40, 506, 606, 806, 906, 1006",
,,n41,CA_n41(2A)_BCS4 and 5,4 and 5
,,n48,See n48 channel bandwidths in Table 5.3.5-1,
CA_n41(2A)-n48B,CA_n41A-n48A,n41,CA_n41(2A)_BCS3,0
,,n48,CA_n48B_BCS2,
CA_n41(2A)-n48C,CA_n41A-n48A,n41,CA_n41(2A)_BCS3,0
,,n48,CA_n48C_BCS1,
CA_n41(2A)-n48(2A),CA_n41A-n48A,n41,CA_n41(2A)_BCS1,0
,,n48,CA_n48(2A)_BCS0,
,,n41,CA_n41(2A)_BCS4 and 5,4 and 5
,,n48,CA_n48(2A)_BCS4 and 5,
CA_n41A-n50A,CA_n41A-n50A,n41,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n50,"5, 10, 15, 20, 40, 50, 60, 801",
CA_n41A-n66A,"n418,9n668CA_n41A-n66A8,9,13,14",n41,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n66,"5, 10, 15, 20, 40",
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",1
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n41,n41 channel bandwidths in Table 5.3.5-1,4 and 5
,,n66,n66 channel bandwidths in Table 5.3.5-1,
