NR CA configuration,Uplink CA configuration or single uplink carrier10,NR Band,Channel bandwidth (MHz) (NOTE 3),Bandwidth combination set
CA_n66A-n70A,n668n708,n66,"5, 10, 15, 20, 40",0
,,n70,"5, 10, 15, 201, 251",
,-,n66,n66 channel bandwidths in Table 5.3.5-1,4 and 5
,,n70,n70 channel bandwidths in Table 5.3.5-1,
CA_n66B-n70A,n668n708,n66,CA_n66B_BCS0,0
,,n70,"5, 10, 15, 201, 251",
CA_n66(2A)-n70A,n668n708,n66,CA_n66(2A)_BCS0,0
,,n70,"5, 10, 15, 201, 251",
,-,n66,CA_n66(2A)_BCS 4 and 5,4 and 5
,,n70,n70 channel bandwidths in Table 5.3.5-1,
CA_n66(3A)-n70A,n668n708,n66,CA_n66(3A)_BCS0,0
,,n70,"5, 10, 15, 201, 251",
,-,n66,CA_n66(3A)_BCS 4 and 5,4 and 5
,,n70,n70 channel bandwidths in Table 5.3.5-1,
CA_n66A-n71A,"n668n718CA_n66A-n71A8,9",n66,"5, 10, 15, 20, 40",0
,,n71,"5, 10, 15, 20",
,,n66,"5, 10, 15, 20, 25, 30, 40",1
,,n71,"5, 10, 15, 20",
,,n66,n66 channel bandwidths in Table 5.3.5-1,4 and 5
,,n71,n71 channel bandwidths in Table 5.3.5-1,
CA_n66A-n71B,n668n718CA_n66A-n71A8,n66,"5, 10, 15, 20, 25, 30, 40",0
,,n71,CA_n71B_BCS0,
,,n66,"5, 10, 15, 20, 25, 30, 40",1
,,n71,CA_n71B_BCS2,
,,n66,n66 channel bandwidths in Table 5.3.5-1,4 and 5
,,n71,CA_n71B_BCS 4 and 5,
CA_n66A-n71(2A),n668n718CA_n66A-n71A8,n66,"5, 10, 15, 20, 40",0
,,n71,CA_n71(2A)_BCS0,
,,n66,"5, 10, 15, 20, 25, 30, 40",1
,,n71,CA_n71(2A)_BCS0,
,,n66,n66 channel bandwidths in Table 5.3.5-1,4 and 5
,,n71,CA_n71(2A)_BCS 4 and 5,
CA_n66(2A)-n71A,n668n718CA_n66A-n71A8,n66,CA_n66(2A)_BCS0,0
,,n71,"5, 10, 15, 20",
,,n66,CA_n66(2A)_BCS1,1
,,n71,"5, 10, 15, 20",
,,n66,CA_n66(2A)_BCS 4 and 5,4 and 5
