NR CA configuration,Uplink CA configuration or single uplink carrier10,NR Band,Channel bandwidth (MHz) (NOTE 3),Bandwidth combination set
CA_n1A-n3A,n38CA_n1A-n3A8,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n1,"5, 10, 15, 20, 25, 30, 40, 50",1
,,n3,"5, 10, 15, 20, 25, 30, 40",
,,n1,"5, 10, 15, 20",2
,,n3,"5, 10, 15, 20, 25, 30, 35, 40",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
CA_n1A-n3B,CA_n1A-n3A,n1,"5, 10, 15, 20",0
,,n3,CA_n3B_BCS0,
,CA_n3B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,CA_n3B_BCS1,
CA_n1B-n3A,CA_n1A-n3A,n1,CA_n1B_BCS0,0
,,n3,"5, 10, 15, 20, 25, 30",
,,n1,CA_n1B_BCS0,1
,,n3,"5, 10, 15, 20, 25, 30, 40",
CA_n1A-n3(2A),CA_n1A-n3A,n1,"5, 10, 15, 20",0
,,n3,CA_n3(2A)_BCS0,
,,n1,"5, 10, 15, 20, 25, 30, 40, 50",1
,,n3,CA_n3(2A)_BCS0,
,,n1,"5, 10, 15, 20",2
,,n3,CA_n3(2A)_BCS1,
CA_n1(2A)-n3A,-,n1,CA_n1(2A)_BCS0,0
,,n3,"5, 10, 15, 20, 25, 30, 40",
CA_n1(2A)-n3(2A),-,n1,CA_n1(2A)_BCS0,0
,,n3,CA_n3(2A)_BCS1,
CA_n1(2A)-n3B,-,n1,CA_n1(2A)_BCS0,0
,,n3,CA_n3B_BCS0,
CA_n1A-n5A,CA_n1A-n5A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n5,"5, 10, 15, 20",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n5,n5 channel bandwidths in Table 5.3.5-1,
CA_n1(2A)-n5A,-,n1,CA_n1(2A)_BCS0,0
,,n5,"5, 10, 15, 20",
CA_n1A-n7A,n78CA_n1A-n7A8,n1,"5, 10, 15, 20",0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n1,"5, 10, 15, 20, 25, 30, 40, 50",1
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n7,n7 channel bandwidths in Table 5.3.5-1,
CA_n1A-n7B,n78CA_n1A-n7ACA_n7B,n1,"5, 10, 15, 20",0
,,n7,CA_n7B_BCS0,
CA_n1A-n7(2A),CA_n1A-n7A,n1,"5, 10, 15, 20",0
,,n7,CA_n7(2A)_BCS0,
CA_n1(2A)-n7A,-,n1,CA_n1(2A)_BCS0,0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
CA_n1A-n8A,CA_n1A-n8A,n1,"5, 10, 15, 20",0
,,n8,"5, 10, 15, 20",
,,n1,"5, 10, 15, 20, 25, 30, 40",1
,,n8,"5, 10, 15, 20",
,,n1,n1 channel bandwidths in Table 5.3.5-1 of 38.101-1,4 and 5
,,n8,n8 channel bandwidths in Table 5.3.5-1 of 38.101-1,
CA_n1(2A)-n8A,-,n1,CA_n1(2A)_BCS0,0
,,n8,"5, 10, 15, 20",
CA_n1A-n18A,CA_n1A-n18A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n18,"5, 10, 15",
CA_n1A-n20A,CA_n1A-n20A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n20,"5, 10, 15, 20",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n20,n20 channel bandwidths in Table 5.3.5-1,
CA_n1A-n26A,n268CA_n1A-n26A,n1,"5, 10, 15, 20",0
,,n26,"5, 10, 15, 20",
CA_n1A-n26(2A),n268CA_n26(2A)CA_n1A-n26A,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n26,CA_n26(2A)_BCS0,
CA_n1A-n28A,CA_n1A-n28A,n1,"5, 10, 15, 20",0
,,n28,"5, 10, 15, 20",
,,n1,"5, 10, 15, 20, 25, 30, 40, 50",1
,,n28,"5, 10, 15, 20, 30",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n28,n28 channel bandwidths in Table 5.3.5-1,
CA_n1(2A)-n28A,-,n1,CA_n1(2A)_BCS0,0
,,n28,"5, 10, 15, 20",
CA_n1A-n38A,-,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n38,"5, 10, 15, 20, 25, 30, 40",
CA_n1(2A)-n38A,-,n1,CA_n1(2A)_BCS0,0
,,n38,"5, 10, 15, 20, 25, 30, 40",
CA_n1A-n40A,CA_n1A-n40A,n1,"5, 10, 15, 20",0
,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",
,,n1,"5, 10, 15, 20",1
,,n40,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n40,n40 channel bandwidths in Table 5.3.5-1,
CA_n1A-n40B,-,n1,"5, 10, 15, 20",0
,,n40,CA_n40B_BCS0,
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n40,CA_n40B_BCS4 and 5,
CA_n1A-n41A,"n418,9CA_n1A-n41A8",n1,"5, 10, 15, 20",0
,,n41,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n1,"5, 10, 15, 20, 25, 30, 40, 50",1
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,n41 channel bandwidths in Table 5.3.5-1,
CA_n1A-n46A,CA_n1A-n46A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n46,"10, 20, 40, 60, 80",
CA_n1A-n46C,CA_n1A-n46A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n46,CA_n46C_BCS0,
CA_n1A-n46D,CA_n1A-n46A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n46,CA_n46D_BCS0,
CA_n1A-n46(2A),CA_n1A-n46A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n46,CA_n46(2A)_BCS0,
CA_n1A-n67A,-,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n67,"5, 10, 15, 20",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n67,n67 channel bandwidths in Table 5.3.5-1,
CA_n1A-n71A,CA_n1A-n71A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n71,"5, 10, 15, 20",
CA_n1A-n74A,CA_n1A-n74A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n74,"5, 10, 15, 20",
CA_n1A-n75A,-,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n75,"5, 10, 15, 20, 25, 30, 40, 50",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n75,n75 channel bandwidths in Table 5.3.5-1,
CA_n1A-n77A,"n778,9CA_n1A-n77A8",n1,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n1,See n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,See n77 channel bandwidths in Table 5.3.5-1,
CA_n1A-n77(2A),"n778,9CA_n1A-n77A8CA_n77(2A)8",n1,"5, 10, 15, 20",0
,,n77,CA_n77(2A)_BCS0,
,,n1,See n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,CA_n77(2A)_BCS4 and 5,
CA_n1A-n77(3A),"n778,9CA_n1A-n77A8CA_n77(2A)8",n1,"5, 10, 15, 20",0
,,n77,CA_n77(3A)_BCS1,
,,n1,See n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,CA_n77(3A)_BCS4 and 5,
CA_n1A-n78A,"n18n788,9CA_n1A-n78A8,13, 14",n1,"5, 10, 15, 20",0
,,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n1,"5, 10, 15, 20, 25, 30, 40, 50",1
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n1,"5, 10, 15, 20, 25, 30, 40",2
,,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n1,"5, 10, 15, 20",3
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n78,n78 channel bandwidths in Table 5.3.5-1,
