NR CA configuration,Uplink CA configuration or single uplink carrier10,NR Band,Channel bandwidth (MHz) (NOTE 3),Bandwidth combination set
CA_n46A-n48A,CA_n46A-n48A,n46,"20, 40, 60, 80",0
,,n48,20,
,,n46,"20, 40, 60, 80",1
,,n48,"5, 10, 15, 20, 40, 506, 606, 806, 906, 1006",
CA_n46A-n48(2A),CA_n46A-n48A,n46,"10, 20, 40, 60, 80",0
,,n48,CA_n48(2A)_BCS0,
CA_n46A-n48(3A),CA_n46A-n48A,n46,"10, 20, 40, 60, 80",0
,,n48,CA_n48(3A)_BCS0,
CA_n46A-n48(4A),CA_n46A-n48A,n46,"10, 20, 40, 60, 80",0
,,n48,CA_n48(4A)_BCS0,
CA_n46A-n48B,CA_n46A-n48A,n46,"20, 40, 60, 80",0
,,n48,CA_n48B_BCS0,
CA_n46A-n48C,CA_n46A-n48ACA_n46A-n48B,n46,"20, 40, 60, 80",0
,,n48,CA_n48C_BCS0,
CA_n46B-n48A,CA_n46A-n48A,n46,CA_n46B_BCS0,0
,,n48,20,
,,n46,CA_n46B_BCS0,1
,,n48,"5, 10, 15, 20, 40, 506, 606, 806, 906, 1006",
CA_n46B-n48(2A),CA_n46A-n48A,n46,CA_n46B_BCS0,0
,,n48,CA_n48(2A)_BCS0,
CA_n46B-n48(3A),CA_n46A-n48A,n46,CA_n46B_BCS0,0
,,n48,CA_n48(3A)_BCS0,
CA_n46B-n48(4A),CA_n46A-n48A,n46,CA_n46B_BCS0,0
,,n48,CA_n48(4A)_BCS0,
CA_n46B-n48B,CA_n46A-n48ACA_n46A-n48B,n46,CA_n46B_BCS0,0
,,n48,CA_n48B_BCS0,
CA_n46B-n48C,CA_n46A-n48A,n46,CA_n46B_BCS0,0
,,n48,CA_n48C_BCS0,
CA_n46C-n48A,CA_n46A-n48A,n46,CA_n46C_BCS0,0
,,n48,20,
,,n46,CA_n46C_BCS0,1
,,n48,"5, 10, 15, 20, 40, 506, 606, 806, 906, 1006",
CA_n46C-n48(2A),CA_n46A-n48A,n46,CA_n46C_BCS0,0
,,n48,CA_n48(2A)_BCS0,
CA_n46C-n48(3A),CA_n46A-n48A,n46,CA_n46C_BCS0,0
,,n48,CA_n48(3A)_BCS0,
CA_n46C-n48(4A),CA_n46A-n48A,n46,CA_n46C_BCS0,0
,,n48,CA_n48(4A)_BCS0,
CA_n46C-n48B,CA_n46A-n48ACA_n46A-n48B,n46,CA_n46C_BCS0,0
,,n48,CA_n48B_BCS0,
CA_n46C-n48C,CA_n46A-n48A,n46,CA_n46C_BCS0,0
,,n48,CA_n48C_BCS0,
CA_n46D-n48A,CA_n46A-n48A,n46,CA_n46D_BCS0,0
,,n48,20,
,,n46,CA_n46D_BCS0,1
,,n48,"5, 10, 15, 20, 40, 506, 606, 806, 906, 1006",
CA_n46D-n48(2A),CA_n46A-n48A,n46,CA_n46D_BCS0,0
,,n48,CA_n48(2A)_BCS0,
CA_n46D-n48(3A),CA_n46A-n48A,n46,CA_n46D_BCS0,0
,,n48,CA_n48(3A)_BCS0,
CA_n46D-n48(4A),CA_n46A-n48A,n46,CA_n46D_BCS0,0
,,n48,CA_n48(4A)_BCS0,
CA_n46D-n48B,CA_n46A-n48ACA_n46A-n48B,n46,CA_n46D_BCS0,0
,,n48,CA_n48B_BCS0,
CA_n46D-n48C,CA_n46A-n48A,n46,CA_n46D_BCS0,0
,,n48,CA_n48C_BCS0,
CA_n46M-n48A,-,n46,CA_n46M_BCS0,0
,,n48,20,
CA_n46M-n48(2A),-,n46,CA_n46M_BCS0,0
,,n48,CA_n48(2A)_BCS0,
CA_n46M-n48(3A),-,n46,CA_n46M_BCS0,0
,,n48,CA_n48(3A)_BCS0,
CA_n46M-n48(4A),-,n46,CA_n46M_BCS0,0
,,n48,CA_n48(4A)_BCS0,
CA_n46M-n48B,-,n46,CA_n46M_BCS0,0
,,n48,CA_n48B_BCS0,
CA_n46M-n48C,-,n46,CA_n46M_BCS0,0
,,n48,CA_n48C_BCS0,
CA_n46N-n48A,CA_n46A-n48A,n46,CA_n46N_BCS1,0
,,n48,"5, 10, 15, 20, 40, 506, 606, 806, 906, 1006",
CA_n46N-n48(2A),CA_n46A-n48A,n46,CA_n46N_BCS1,0
,,n48,CA_n48(2A)_BCS0,
