NR CA configuration,Uplink CA configurationor single uplink carrier6,NR Band,Channel bandwidth (MHz) (NOTE 3),Bandwidth combination set
CA_n46A-n48A-n96A,CA_n46A-n48ACA_n48A-n96A,n46,"10, 20, 40, 60, 80",0
,,n48,"5, 10, 15, 20, 30, 40, 5012, 6012, 7012, 8012, 9012, 10012",
,,n96,"20, 40, 60, 80",
CA_n46B-n48A-n96A,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46B_BCS0,0
,,n48,"5, 10, 15, 20, 30, 40, 5012, 6012, 7012, 8012, 9012, 10012",
,,n96,"20, 40, 60, 80",
CA_n46C-n48A-n96A,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46C_BCS0,0
,,n48,"5, 10, 15, 20, 30, 40, 5012, 6012, 7012, 8012, 9012, 10012",
,,n96,"20, 40, 60, 80",
CA_n46D-n48A-n96A,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46D_BCS0,0
,,n48,"5, 10, 15, 20, 30, 40, 5012, 6012, 7012, 8012, 9012, 10012",
,,n96,"20, 40, 60, 80",
CA_n46M-n48A-n96A,-,n46,CA_n46M_BCS0,0
,,n48,"5, 10, 15, 20, 30, 40, 5012, 6012, 7012, 8012, 9012, 10012",
,,n96,"20, 40, 60, 80",
CA_n46N-n48A-n96A,CA_n46A-n48ACA_n48A-n96A,n46,CA_n46N_BCS1,0
,,n48,"5, 10, 15, 20, 30, 40, 5012, 6012, 7012, 8012, 9012, 10012",
,,n96,"20, 40, 60, 80",
CA_n46A-n48B-n96A,CA_n46A-n48ACA_n46A-n48BCA_n48A-n96ACA_n48BCA_n48B-n96A,n46,"10, 20, 40, 60, 80",0
,,n48,CA_n48B_BCS0,
,,n96,"20, 40, 60, 80",
CA_n46B-n48B-n96A,CA_n46A-n48ACA_n46A-n48BCA_n48A-n96ACA_n48BCA_n48B-n96A,n46,CA_n46B_BCS0,0
,,n48,CA_n48B_BCS0,
,,n96,"20, 40, 60, 80",
CA_n46C-n48B-n96A,CA_n46A-n48ACA_n46A-n48BCA_n48A-n96ACA_n48BCA_n48B-n96A,n46,CA_n46C_BCS0,0
