NR CA configuration,Uplink CA configurationor single uplink carrier 4,NR Band,Channel bandwidth (MHz) (NOTE 3),Bandwidth combination set
CA_n1A-n3A-n5A-n7A,CA_n1A-n3ACA_n1A-n5ACA_n1A-n7ACA_n3A-n5ACA_n3A-n7ACA_n5A-n7A,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30, 40, 50",
,,n5,"5, 10, 15, 20",
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
CA_n1A-n3A-n5A-n7B,CA_n1A-n3ACA_n1A-n5ACA_n1A-n7ACA_n3A-n5ACA_n3A-n7ACA_n5A-n7ACA_n7B,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30, 40, 50",
,,n5,"5, 10, 15, 20",
,,n7,CA_n7B_BCS0,
CA_n1A-n3A-n5A-n28A,CA_n1A-n3ACA_n1A-n5ACA_n1A-n28ACA_n3A-n5ACA_n3A-n28ACA_n5A-n28A,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n5,n5 channel bandwidths in Table 5.3.5-1,
,,n28,n28 channel bandwidths in Table 5.3.5-1,
CA_n1A-n3A-n5A-n78A,CA_n1A-n3ACA_n1A-n5ACA_n1A-n78ACA_n3A-n5ACA_n3A-n78ACA_n5A-n78A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n3,"5, 10, 15, 20, 25, 30, 40, 50",
,,n5,"5, 10, 15, 20",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n3A-n7A-n8A,CA_n1A-n3ACA_n1A-n7ACA_n1A-n8ACA_n3A-n7ACA_n3A-n8ACA_n7A-n8A,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n8,"5, 10, 15, 20",
CA_n1A-n3(2A)-n7A-n8A,CA_n1A-n3ACA_n1A-n7ACA_n1A-n8ACA_n3A-n7ACA_n3A-n8ACA_n7A-n8A,n1,"5, 10, 15, 20",0
,,n3,CA_n3(2A)_BCS0,
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n8,"5, 10, 15, 20",
CA_n1A-n3A-n7(2A)-n8A,CA_n1A-n3ACA_n1A-n7ACA_n1A-n8ACA_n3A-n7ACA_n3A-n8ACA_n7A-n8A,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n7,CA_n7(2A)_BCS0,
,,n8,"5, 10, 15, 20",
CA_n1A-n3(2A)-n7(2A)-n8A,CA_n1A-n3ACA_n1A-n7ACA_n1A-n8ACA_n3A-n7ACA_n3A-n8ACA_n7A-n8A,n1,"5, 10, 15, 20",0
,,n3,CA_n3(2A)_BCS0,
,,n7,CA_n7(2A)_BCS0,
,,n8,"5, 10, 15, 20",
CA_n1A-n3A-n7A-n20A,n35n75CA_n1A-n3A5CA_n1A-n7A5CA_n1A-n20ACA_n3A-n7A5CA_n3A-n20A5CA_n7A-n20A5,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n7,n7 channel bandwidths in Table 5.3.5-1,
