NR CA configuration,Uplink CA configuration or single uplink carrier10,NR Band,Channel bandwidth (MHz) (NOTE 3),Bandwidth combination set
CA_n20A-n28A22,CA_n20A-n28A,n20,"5, 10, 15, 20",0
,,n28,"5, 10, 15, 20",
,,n20,"5, 10, 15, 20",1
,,n28,"5, 10, 15, 20, 30",
,,n20,"5, 10, 15, 20",2
,,n28,"5, 10, 15, 20, 25, 30",
,,n20,n20 channel bandwidths in Table 5.3.5-1,4 and 5
,,n28,n28 channel bandwidths in Table 5.3.5-1,
CA_n20A-n40A,-,n20,"5, 10, 15, 20",0
,,n40,"5, 10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n20A-n41A,CA_n20A-n41A,n20,"5,10,15,20",0
,,n41,"5,10,15,20,25,30,35,40,45,50,60,70,80,90,100",
,,n20,n20 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,n41 channel bandwidths in Table 5.3.5-1,
CA_n20A-n67A,-,n20,"5, 10, 15, 20",0
,,n67,"5, 10, 15, 20",
,,n20,n20 channel bandwidths in Table 5.3.5-1,4 and 5
,,n67,n67 channel bandwidths in Table 5.3.5-1,
CA_n20A-n71A,CA_n20A-n71A,n20,"5,10,15,20",0
,,n71,"5,10,15,20",
CA_n20A-n75A,-,n20,"5, 10, 15, 20",0
,,n75,"5, 10, 15, 20",
,,n20,"5, 10,15, 20",1
,,n75,"5, 10,15, 20, 25, 30, 40, 50",
,,n20,n20 channel bandwidths in Table 5.3.5-1,4 and 5
,,n75,n75 channel bandwidths in Table 5.3.5-1,
CA_n20A-n77A,CA_n20A-n77A,n20,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n20A-n77(2A),CA_n20A-n77A,n20,"5, 10, 15, 20",0
,,n77,CA_n77(2A)_BCS0,
CA_n20A-n78A,CA_n20A-n78A,n20,"5, 10, 15, 20",0
,,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n20,See n20 channel bandwidths in Table 5.3.5-1,4 and 5
,,n78,See n78 channel bandwidths in Table 5.3.5-1,
CA_n20A-n78C,-,n20,"5, 10, 15, 20",0
,,n78,CA_n78C_BCS1,
CA_n20A-n78(2A),CA_n20A-n78ACA_n78(2A),n20,See n20 channel bandwidths in Table 5.3.5-1,4 and 5
,,n78,CA_n78(2A)_BCS4 and 5,
CA_n24A-n41A,CA_n24A-n41A,n24,"5, 10",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n24,See n24 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,See n41 channel bandwidths in Table 5.3.5-1,
CA_n24A-n41(2A),CA_n24A-n41A,n24,"5, 10",0
,,n41,CA_n41(2A)_BCS1,
,,n24,See n24 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,CA_n41(2A)_BCS4 and 5,
CA_n24A-n48A,CA_n24A-n48A,n24,"5, 10",0
,,n48,"5, 10, 15, 20, 40, 506, 606, 806, 906, 1006",
