NR CA configuration,Uplink CA configuration or single uplink carrier10,NR Band,Channel bandwidth (MHz) (NOTE 3),Bandwidth combination set
CA_n70A-n71A,n708n718CA_n70A-n71A,n70,"5, 10, 15, 201, 251",0
,,n71,"5, 10, 15, 20",
,,n70,n70 channel bandwidths in Table 5.3.5-1,4 and 5
,,n71,n71 channel bandwidths in Table 5.3.5-1,
CA_n70A-n71(2A),CA_n70A-n71A,n70,"5, 10, 15, 201, 251",0
,,n71,CA_n71(2A)_BCS0,
,,n70,n70 channel bandwidths in Table 5.3.5-1,4 and 5
,,n71,CA_n71(2A)_BCS 4 and 5,
CA_n70A-n77A,"n708CA_n70A-n77A13,14",n70,"5, 10, 15, 201, 251",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n70A-n78A,CA_n70A-n78A,n70,"5, 10, 15, 201, 251",0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n71A-n77A,"n718n778,9CA_n71A-n77A8,9,13,14",n71,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n71,n71 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n71A-n77(2A),"n718n778,9CA_n77(2A)8CA_n71A-n77A8,13,14",n71,"5, 10, 15, 20",0
,,n77,CA_n77(2A)_BCS1,
,,n71,n71 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,CA_n77(2A)_BCS 4 and 5,
CA_n71A-n77(3A),"n778,9CA_n77(2A)8CA_n71A-n77A8",n71,"5, 10, 15, 20",0
,,n77,CA_n77(3A)_BCS1,
,,n71,n71 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,CA_n77(3A)_BCS4 and 5,
CA_n71A-n77B,CA_n71A-n77A,n71,n71 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,CA_n77B_BCS 4 and 5,
CA_n71A-n77C,CA_n71A-n77A,n71,n71 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,CA_n77C_BCS 4 and 5,
CA_n71B-n77A,"n718n778,9CA_n71A-n77A8,9,13,14",n71,CA_n71B_BCS2,0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n71,CA_n71B_BCS 4 and 5,4 and 5
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n71B-n77(2A),"n718n778,9CA_n71A-n77A8",n71,CA_n71B_BCS2,0
,,n77,CA_n77(2A)_BCS1,
,,n71,CA_n71B_BCS 4 and 5,4 and 5
,,n77,CA_n77(2A)_BCS 4 and 5,
CA_n71(2A)-n77A,"n718n778,9CA_n71A-n77A8,9,13,14",n71,CA_n71(2A)_BCS0,0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
