NR CA configuration,Uplink CA configurationor single uplink carrier6,NR Band,Channel bandwidth (MHz) (NOTE 3),Bandwidth combination set
CA_n1A-n3A-n5A,CA_n1A-n3ACA_n1A-n5ACA_n3A-n5A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n3,"5, 10, 15, 20, 25, 30, 40, 50",
,,n5,"5, 10, 15, 20",
CA_n1A-n3A-n7A,n37n77CA_n1A-n3A7CA_n1A-n7A7CA_n3A-n7A7,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n1,"5, 10, 15, 20, 25, 30, 40, 50",1
,,n3,"5, 10, 15, 20, 25, 30, 40",
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n1,"5, 10, 15, 20",2
,,n3,"5, 10, 15, 20, 25, 30, 40",
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n7,n7 channel bandwidths in Table 5.3.5-1,
CA_n1A-n3A-n7B,n77,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n7,CA_n7B_BCS0,
,n77CA_n1A-n3ACA_n1A-n7ACA_n3A-n7ACA_n7B,n1,"5, 10, 15, 20, 25, 30, 40, 50",1
,,n3,"5, 10, 15, 20, 25, 30, 40, 50",
,,n7,CA_n7B_BCS0,
CA_n1A-n3A-n7(2A),CA_n1A-n3ACA_n1A-n7ACA_n3A-n7A,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n7,CA_n7(2A)_BCS0,
CA_n1A-n3(2A)-n7A,CA_n1A-n3ACA_n1A-n7ACA_n3A-n7A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n3,CA_n3(2A)_BCS1,
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
CA_n1A-n3(2A)-n7(2A),CA_n1A-n3ACA_n1A-n7ACA_n3A-n7A,n1,"5, 10, 15, 20",0
,,n3,CA_n3(2A)_BCS0,
,,n7,CA_n7(2A)_BCS0,
CA_n1(2A)-n3A-n7A,-,n1,CA_n1(2A)_BCS0,0
,,n3,"5, 10, 15, 20, 25, 30, 40, 50",
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
CA_n1A-n3B-n7A,n77CA_n1A-n3ACA_n1A-n7ACA_n3A-n7A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n3,CA_n3B_BCS0,
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,n77CA_n3B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,CA_n3B_BCS1,
,,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",
CA_n1(2A)-n3B-n7A,-,n1,CA_n1(2A)_BCS0,0
,,n3,CA_n3B_BCS0,
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
CA_n1(2A)-n3(2A)-n7A,-,n1,CA_n1(2A)_BCS0,0
,,n3,CA_n3(2A)_BCS1,
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
CA_n1A-n3B-n7B,n77CA_n1A-n3ACA_n1A-n7ACA_n3A-n7ACA_n7B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n3,CA_n3B_BCS0,
,,n7,CA_n7B_BCS0,
,n77CA_n3B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,CA_n3B_BCS1,
,,n7,CA_n7B_BCS0,
CA_n1A-n3A-n8A,CA_n1A-n3ACA_n1A-n8ACA_n3A-n8A,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n8,"5, 10, 15, 20",
,,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",
,,n8,"5, 10, 15, 20",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n8,n8 channel bandwidths in Table 5.3.5-1,
CA_n1A-n3(2A)-n8A,CA_n1A-n3ACA_n1A-n8ACA_n3A-n8A,n1,"5, 10, 15, 20",0
,,n3,CA_n3(2A)_BCS0,
,,n8,"5, 10, 15, 20",
,,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,CA_n3(2A)_BCS 4 and 5,
,,n8,"5, 10, 15, 20",
CA_n1A-n3A-n18A,CA_n1A-n3ACA_n1A-n18ACA_n3A-n18A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n3,"5, 10, 15, 20, 25, 30, 40",
,,n18,"5, 10, 15",
CA_n1A-n3A-n20A,n37CA_n1A-n3A7CA_n1A-n20ACA_n3A-n20A7,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n3,"5, 10, 15, 20, 25, 30, 40",
,,n20,"5, 10, 15, 20",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n20,n20 channel bandwidths in Table 5.3.5-1,
CA_n1A-n3A-n26A,n267CA_n1A-n3ACA_n1A-n26ACA_n3A-n26A,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30, 40",
,,n26,"5, 10, 15, 20",
CA_n1A-n3A-n26(2A),n267CA_n26(2A)CA_n1A-n3ACA_n1A-n26ACA_n3A-n26A,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n3,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",
,,n26,CA_n26(2A)_BCS0,
CA_n1A-n3B-n26A,n267CA_n1A-n3ACA_n1A-n26ACA_n3A-n26A,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n3,CA_n3B_BCS0,
,,n26,"5, 10, 15, 20, 25, 30",
,n267CA_n3B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,CA_n3B_BCS1,
,,n26,"5, 10, 15, 20, 25, 30",
CA_n1A-n3B-n26(2A),n267CA_n26(2A)CA_n1A-n3ACA_n1A-n26ACA_n3A-n26A,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n3,CA_n3B_BCS0,
,,n26,CA_n26(2A)_BCS0,
,CA_n3B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,CA_n3B_BCS1,
,,n26,CA_n26(2A)_BCS0,
CA_n1A-n3A-n28A,n37,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n28,"5, 10, 15, 202",
,n37CA_n1A-n3A7CA_n1A-n28ACA_n3A-n28A7,n1,"5, 10, 15, 20",1
,,n3,"5, 10, 15, 20, 25, 30, 40",
,,n28,"5, 10, 15, 20",
,,n1,"5, 10, 15, 20, 25, 30, 40, 50",2
,,n3,"5, 10, 15, 20, 25, 30, 40, 50",
,,n28,"5, 10, 15, 201, 301",
,,n1,n1 channel bandwidths in Table 5.3.5-1,4 and 5
,,n3,n3 channel bandwidths in Table 5.3.5-1,
,,n28,n28 channel bandwidths in Table 5.3.5-1,
CA_n1A-n3B-n28A,CA_n1A-n3ACA_n1A-n28ACA_n3A-n28A,n1,"5, 10, 15, 20",0
,,n3,CA_n3B_BCS0,
,,n28,"5, 10, 15, 20",
,CA_n3B,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",1
,,n3,CA_n3B_BCS1,
,,n28,"5, 10, 15, 20, 25, 30",
CA_n1A-n3A-n38A,-,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n3,"5, 10, 15, 20, 25, 30, 40, 50",
,,n38,"5, 10, 15, 20, 25, 30, 40",
CA_n1A-n3B-n38A,-,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n3,CA_n3B_BCS0,
,,n38,"5, 10, 15, 20, 25, 30, 40",
CA_n1(2A)-n3A-n38A,-,n1,CA_n1(2A)_BCS0,0
,,n3,"5, 10, 15, 20, 25, 30, 40, 50",
,,n38,"5, 10, 15, 20, 25, 30, 40",
CA_n1(2A)-n3B-n38A,-,n1,CA_n1(2A)_BCS0,0
,,n3,CA_n3B_BCS0,
,,n38,"5, 10, 15, 20, 25, 30, 40",
CA_n1A-n3(2A)-n38A,-,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n3,CA_n3(2A)_BCS1,
,,n38,"5, 10, 15, 20, 25, 30, 40",
CA_n1(2A)-n3(2A)-n38A,-,n1,CA_n1(2A)_BCS0,0
,,n3,CA_n3(2A)_BCS1,
,,n38,"5, 10, 15, 20, 25, 30, 40",
